"","dataset","lat","long","in-calib-sample"
"173","860",44.05,-87.733333,1
"174","869",44.2329,-93.87066,1
"175","967",46.583333,-92.466667,1
"176","990",47.2036,-95.755515,0
"177","CALPRE1",45.917883,-89.434358,0
"178","CALPRE10",45.934297,-89.519786,1
"179","CALPRE11",45.9395,-92.0572,0
"180","CALPRE12",45.942934,-89.22145,1
"181","CALPRE13",45.9477,-92.197,1
"182","CALPRE14",45.9599,-92.1084,1
"183","CALPRE15",45.965542,-89.483116,1
"184","CALPRE16",45.971148,-89.708418,1
"185","CALPRE17",45.982146,-89.685207,0
"186","CALPRE18",45.98437,-92.16812,1
"187","CALPRE19",45.9939,-89.61883,1
"188","CALPRE2",45.9208573,-89.6996401,0
"189","CALPRE20",46.0086459,-89.6997036,0
"190","CALPRE21",46.0126,-92.2259,0
"191","CALPRE22",46.0369394,-89.6288435,1
"192","CALPRE23",46.051978,-89.590709,1
"193","CALPRE24",46.05323,-89.566965,1
"194","CALPRE25",46.063419,-89.704896,1
"195","CALPRE26",46.0665173,-89.6038754,1
"196","CALPRE27",46.09,-91.94,0
"197","CALPRE28",46.121,-92.039,0
"198","CALPRE29",46.125602,-89.284923,1
"199","CALPRE3",45.924,-91.961,0
"200","CALPRE30",46.1567454,-89.1780327,1
"201","CALPRE31",46.159086,-89.91917,1
"202","CALPRE32",46.171864,-89.710237,0
"203","CALPRE33",46.203,-91.858,0
"204","CALPRE34",46.205384,-89.792614,0
"205","CALPRE35",46.240885,-89.68285,0
"206","CALPRE36",46.274,-91.693,0
"207","CALPRE37",46.318,-91.688,1
"208","CALPRE38",46.36,-91.619,0
"209","CALPRE39",46.382,-91.496,0
"210","CALPRE4",45.9267,-92.468,0
"211","CALPRE40",46.382,-91.701,1
"212","CALPRE41",46.407,-91.528,1
"213","CALPRE42",46.423,-91.48,1
"214","CALPRE43",46.50213,-91.41097,1
"215","CALPRE44",46.543,-91.35,1
"216","CALPRE45",46.5678,-91.3002,1
"217","CALPRE46",46.57128,-91.27224,1
"218","CALPRE47",46.65141,-91.23631,1
"219","CALPRE48",46.6838,-91.063,0
"220","CALPRE5",45.9271,-92.256,1
"221","CALPRE6",45.928,-92.083,1
"222","CALPRE7",45.930417,-89.357161,1
"223","CALPRE8",45.932,-92.2359,1
"224","CALPRE9",45.932222,-89.208192,1
"225","CLH1",45.302,-91.194,0
"226","CLH3",45.872,-92.341,0
"227","CLH4",45.901,-92.272,1
"228","CLH5",45.9036,-92.0609,1
"229","CLH6",45.90634,-89.690237,0
"230","CLH7",45.8618,-92.2786,1
"231","CLH8",45.1915,-90.60789,0
"232","CLH9",45.7865,-92.219,0
