"","id","handle","type","depth","geo_age","x","y"
"1","29","ALLIE","Core top_100",0,-15.3437045202703,109713.936799965,977523.885962526
"2","29","ALLIE","Presettlement_paleon",50,113.356598192158,109713.936799965,977523.885962526
"3","3473","LAKEMARY","Core top_7941",0,231.752343663146,488570.756536589,1097003.30085841
"4","3473","LAKEMARY","Radiocarbon_7942",50,3983.7095384408,488570.756536589,1097003.30085841
"5","3473","LAKEMARY","Radiocarbon_7943",141,9602.33325441006,488570.756536589,1097003.30085841
"6","3473","LAKEMARY","Radiocarbon_7944",193.5,10861.5381203449,488570.756536589,1097003.30085841
"7","223","BADMED","Core top_248",0,-14.3806809597909,83027.2967177605,1242568.51574078
"8","223","BADMED","Presettlement_paleon",20,51.1760522435206,83027.2967177605,1242568.51574078
"9","241","BBASS","Core top_418",0,-14.2251421837622,195674.921407681,1114636.89343597
"10","241","BBASS","Presettlement_paleon",10,24.4741628447875,195674.921407681,1114636.89343597
"11","249","BECKMAN","Core top_441",53,2.92312336140682,225860.925100248,1031871.05543425
"12","249","BECKMAN","Presettlement_paleon",83,83.3616170578624,225860.925100248,1031871.05543425
"13","3062","BECKMNBG","Core top_7701",0,-28.7446946642187,225860.925100248,1031871.05543425
"14","3062","BECKMNBG","Presettlement_paleon",35,80.8333757784925,225860.925100248,1031871.05543425
"15","272","BIGJOHN","Core top_588",0,-30.74581836921,122022.866251561,1285729.27075439
"16","272","BIGJOHN","Presettlement_paleon",40,55.6045541607733,122022.866251561,1285729.27075439
"17","272","BIGJOHN","Radiocarbon_rc_590",62.5,1052.62147198784,122022.866251561,1285729.27075439
"18","272","BIGJOHN","Radiocarbon_rc_591",130,3318.56307183631,122022.866251561,1285729.27075439
"19","275","BILLYS","Core top_603",180,-23.5859830922465,133102.2543216,1139174.43738222
"20","275","BILLYS","Presettlement_paleon",220,62.8136035329061,133102.2543216,1139174.43738222
"21","275","BILLYS","Radiocarbon_rc_604",225,62.8176757370367,133102.2543216,1139174.43738222
"22","275","BILLYS","Radiocarbon_rc_605",300,1002.4338680835,133102.2543216,1139174.43738222
"23","275","BILLYS","Radiocarbon_rc_606",405,2044.83317753313,133102.2543216,1139174.43738222
"24","275","BILLYS","Radiocarbon_rc_607",605,4138.12308647039,133102.2543216,1139174.43738222
"25","275","BILLYS","Radiocarbon_rc_608",805,6864.03956670269,133102.2543216,1139174.43738222
"26","275","BILLYS","Radiocarbon_rc_609",1005,10864.605674389,133102.2543216,1139174.43738222
"27","280","BLANDIN","Core top_626",0,-31.8631019395145,212989.641081798,1225260.94592028
"28","280","BLANDIN","Presettlement_paleon",41,83.7027074731841,212989.641081798,1225260.94592028
"29","287","BLUMOUND","Core top_665",0,20.9658612638247,462142.995999269,745549.409074632
"30","287","BLUMOUND","Presettlement_paleon",11,20.9736848964135,462142.995999269,745549.409074632
"31","287","BLUMOUND","Radiocarbon_667",87,4741.47915389034,462142.995999269,745549.409074632
"32","287","BLUMOUND","Radiocarbon_668",207,8195.01087042048,462142.995999269,745549.409074632
"33","287","BLUMOUND","Radiocarbon_669",266,10855.6248446391,462142.995999269,745549.409074632
"34","287","BLUMOUND","Radiocarbon_670",316,12420.692198996,462142.995999269,745549.409074632
"35","296","BOBLAKE","Core top_679",0,-14.4952937615957,285607.628979334,1160214.97986788
"36","296","BOBLAKE","Presettlement_paleon",20,57.4588423005684,285607.628979334,1160214.97986788
"37","298","BOGD","Core top_687",0,-13.1521951171487,101479.189332516,1245816.98709436
"38","298","BOGD","Presettlement_paleon",70,91.5119032854772,101479.189332516,1245816.98709436
"39","298","BOGD","Radiocarbon_689",255,2756.82523493191,101479.189332516,1245816.98709436
"40","298","BOGD","Radiocarbon_690",416,4571.07337682558,101479.189332516,1245816.98709436
"41","298","BOGD","Radiocarbon_691",712,9475.28908602142,101479.189332516,1245816.98709436
"42","305","BOSSUOT","Core top_726",0,-15.3470091927211,166712.634737809,912781.837383831
"43","305","BOSSUOT","Presettlement_paleon",60,112.385806334624,166712.634737809,912781.837383831
"44","325","BURNTSDE","Core top_877",0,-19.9190316776666,348306.899741792,1297713.69156685
"45","325","BURNTSDE","Presettlement_paleon",20,45.6862942075281,348306.899741792,1297713.69156685
"46","332","CAMP11LK","Core top_927",0,12.7332421942845,635928.718785106,1133028.27880558
"47","332","CAMP11LK","Presettlement_paleon",10,12.7416946653663,635928.718785106,1133028.27880558
"48","332","CAMP11LK","Radiocarbon_929",104,940.218812025974,635928.718785106,1133028.27880558
"49","332","CAMP11LK","Radiocarbon_930",204,1730.79824636721,635928.718785106,1133028.27880558
"50","332","CAMP11LK","Radiocarbon_931",304,2380.58611721551,635928.718785106,1133028.27880558
"51","332","CAMP11LK","Radiocarbon_932",375,2735.05042635986,635928.718785106,1133028.27880558
"52","332","CAMP11LK","Radiocarbon_933",427,4091.62624045099,635928.718785106,1133028.27880558
"53","332","CAMP11LK","Radiocarbon_934",474,4623.45696500472,635928.718785106,1133028.27880558
"54","332","CAMP11LK","Radiocarbon_935",554,6507.62921359723,635928.718785106,1133028.27880558
"55","332","CAMP11LK","Radiocarbon_936",657,7999.06946580736,635928.718785106,1133028.27880558
"56","332","CAMP11LK","Radiocarbon_937",729,9291.96409279476,635928.718785106,1133028.27880558
"57","332","CAMP11LK","Radiocarbon_938",794,10085.9408001033,635928.718785106,1133028.27880558
"58","332","CAMP11LK","Radiocarbon_939",854,11582.2801394998,635928.718785106,1133028.27880558
"59","334","CAMPBELL","Core top_954",0,-15.200219786798,191338.406333718,955686.364030169
"60","334","CAMPBELL","Presettlement_paleon",50,103.281498361465,191338.406333718,955686.364030169
"61","352","CEDARBLK","Core top_1085",130,-9.86911826154757,224593.2761041,1030470.34874412
"62","352","CEDARBLK","Presettlement_paleon",190,101.106363328725,224593.2761041,1030470.34874412
"63","352","CEDARBLK","Radiocarbon_1087",406.5,4008.350185627,224593.2761041,1030470.34874412
"64","352","CEDARBLK","Radiocarbon_1088",945,9097.67747203755,224593.2761041,1030470.34874412
"65","369","CHIPPEWA","Radiocarbon_1175",226.5,1126.89677591463,1000611.10445441,727904.138714734
"66","369","CHIPPEWA","Radiocarbon_1176",481.5,4660.4583918161,1000611.10445441,727904.138714734
"67","369","CHIPPEWA","Radiocarbon_1177",746.5,9363.50352697963,1000611.10445441,727904.138714734
"68","369","CHIPPEWA","Radiocarbon_1178",858.5,10902.5916796291,1000611.10445441,727904.138714734
"69","382","CINDY","Core top_1240",0,-14.7076631556233,118146.606992935,1242767.28166037
"70","382","CINDY","Presettlement_paleon",20,50.5305438383059,118146.606992935,1242767.28166037
"71","515","MNGRCL","Core top_1529",0,-15.0019632356737,12403.1964222655,1100005.35355526
"72","515","MNGRCL","Presettlement_paleon",40,91.1893918924249,12403.1964222655,1100005.35355526
"73","521","CRAZY","Core top_1557",0,-15.2569816983741,58745.1608008107,1252912.7176246
"74","521","CRAZY","Presettlement_paleon",40,87.4631805577999,58745.1608008107,1252912.7176246
"75","532","CUB2","Core top_1633",0,19.0870989377144,864728.728170992,904696.221088265
"76","532","CUB2","Presettlement_paleon",24,49.4469211719255,864728.728170992,904696.221088265
"77","532","CUB2","Radiocarbon_rc_1635",33,49.4520950312055,864728.728170992,904696.221088265
"78","532","CUB2","Radiocarbon_rc_1636",123.5,1059.72179831879,864728.728170992,904696.221088265
"79","532","CUB2","Radiocarbon_rc_1637",203,2460.48952397158,864728.728170992,904696.221088265
"80","532","CUB2","Radiocarbon_rc_1638",325,4514.94078436081,864728.728170992,904696.221088265
"81","532","CUB2","Radiocarbon_rc_1639",421,8470.87367804201,864728.728170992,904696.221088265
"82","545","DALTON","Core top_1706",0,-15.053274101409,27639.5488726582,1144129.65510178
"83","545","DALTON","Presettlement_paleon",40,84.0657870921155,27639.5488726582,1144129.65510178
"84","679","DEMONTLK","Core top_1849",0,-2.63386149508564,858474.955393812,769048.302064685
"85","679","DEMONTLK","Presettlement_paleon",60,133.424522393078,858474.955393812,769048.302064685
"86","679","DEMONTLK","Radiocarbon_1851",100,592.706295176593,858474.955393812,769048.302064685
"87","679","DEMONTLK","Radiocarbon_1852",340,4363.88946866379,858474.955393812,769048.302064685
"88","679","DEMONTLK","Radiocarbon_1853",578,8032.29521883044,858474.955393812,769048.302064685
"89","679","DEMONTLK","Radiocarbon_1854",742,11903.8084811572,858474.955393812,769048.302064685
"90","679","DEMONTLK","Radiocarbon_1855",935,14177.2053080154,858474.955393812,769048.302064685
"91","684","DEVILSWI","Core top_38069",0,1.34983601757274,476056.304345733,781730.52752116
"92","684","DEVILSWI","Presettlement_paleon",22.5,72.9789562903463,476056.304345733,781730.52752116
"93","684","DEVILSWI","Radiocarbon_38058",151.5,2069.26658102564,476056.304345733,781730.52752116
"94","684","DEVILSWI","Radiocarbon_38059",166.5,2463.0035033217,476056.304345733,781730.52752116
"95","684","DEVILSWI","Radiocarbon_38060",265,4617.00932798276,476056.304345733,781730.52752116
"96","684","DEVILSWI","Radiocarbon_38061",336,6048.30196060144,476056.304345733,781730.52752116
"97","684","DEVILSWI","Radiocarbon_38062",397,7713.21036914287,476056.304345733,781730.52752116
"98","684","DEVILSWI","Radiocarbon_38063",457,9530.39053986986,476056.304345733,781730.52752116
"99","684","DEVILSWI","Radiocarbon_38064",474,9740.4155348078,476056.304345733,781730.52752116
"100","684","DEVILSWI","Radiocarbon_38065",535,11116.9050363795,476056.304345733,781730.52752116
"101","684","DEVILSWI","Radiocarbon_38066",550,11550.0386603343,476056.304345733,781730.52752116
"102","684","DEVILSWI","Radiocarbon_38067",583.75,12618.0347201191,476056.304345733,781730.52752116
"103","684","DEVILSWI","Radiocarbon_38068",633,14243.7786993395,476056.304345733,781730.52752116
"104","3081","DISTRHFT","Presettlement_paleon",80,107.523687179158,525722.182500445,833581.658372948
"105","3081","DISTRHFT","Radiocarbon_7750",205,2972.35854257409,525722.182500445,833581.658372948
"106","3081","DISTRHFT","Radiocarbon_7751",393.5,6184.82216845607,525722.182500445,833581.658372948
"107","3081","DISTRHFT","Radiocarbon_7752",525,9435.50404819975,525722.182500445,833581.658372948
"108","3081","DISTRHFT","Radiocarbon_7753",670,12918.6100881018,525722.182500445,833581.658372948
"109","3081","DISTRHFT","Radiocarbon_7754",775,14950.1454861453,525722.182500445,833581.658372948
"110","3081","DISTRHFT","Radiocarbon_7755",873,18105.1881805934,525722.182500445,833581.658372948
"111","717","DOGFISH","Core top_1954",0,-23.4980013257602,337509.837343369,1327924.4270101
"112","717","DOGFISH","Presettlement_paleon",25,50.4965431330419,337509.837343369,1327924.4270101
"113","781","EASTTWIN","Core top_2050",0,-14.8512084728949,199372.362344846,1024929.03742438
"114","781","EASTTWIN","Presettlement_paleon",30,80.1327781886828,199372.362344846,1024929.03742438
"115","786","EGGERT","Core top_2075",0,-15.1433856466027,178418.072165914,930743.784850951
"116","786","EGGERT","Presettlement_paleon",40,97.8708561233913,178418.072165914,930743.784850951
"117","817","FAITH","Core top_2271",0,-15.1499571216727,33497.0637751347,1267069.0721991
"118","817","FAITH","Presettlement_paleon",30,72.0650009865604,33497.0637751347,1267069.0721991
"119","822","FARQUAR","Core top_2289",0,-15.0774091753287,218186.64208869,958014.902012345
"120","822","FARQUAR","Presettlement_paleon",50,112.136828845481,218186.64208869,958014.902012345
"121","824","FAWNLAKE","Core top_2295",0,-14.684907401259,116910.403055365,1135672.91149826
"122","824","FAWNLAKE","Presettlement_paleon",30,75.186541659995,116910.403055365,1135672.91149826
"123","846","FOXPOND","Core top_2356",0,-15.2395255865881,71657.4290798263,1248937.30099233
"124","846","FOXPOND","Presettlement_paleon",50,93.7690154412545,71657.4290798263,1248937.30099233
"125","847","FRAINSLK","Core top_2359",0,-8.65934284945183,968573.108404928,639739.734765968
"126","847","FRAINSLK","Presettlement_paleon",410,424.259937084011,968573.108404928,639739.734765968
"127","847","FRAINSLK","Radiocarbon_2361",473,1075.80383432831,968573.108404928,639739.734765968
"128","847","FRAINSLK","Radiocarbon_2362",582,1836.06362309071,968573.108404928,639739.734765968
"129","847","FRAINSLK","Radiocarbon_2363",786,5231.56043911129,968573.108404928,639739.734765968
"130","847","FRAINSLK","Radiocarbon_2364",1001,9108.09989294861,968573.108404928,639739.734765968
"131","847","FRAINSLK","Radiocarbon_2365",1055,10685.7572698787,968573.108404928,639739.734765968
"132","847","FRAINSLK","Radiocarbon_2366",1095,11615.2607080384,968573.108404928,639739.734765968
"133","847","FRAINSLK","Radiocarbon_2367",1195.5,14402.3358745481,968573.108404928,639739.734765968
