"","x","y","cell","Alder","Ash","Basswood","Beech","Birch","Cedarjuniper","Cherry","Elm","Fir","Hackberry","Hemlock","Hickory","Ironwood","Maple","Oak","Pine","Poplar","Spruce","Tamarack","Walnut","Willow","TBDT","TNDT","TNET","Total"
"2611",309000,958000,19880,0.000212057969860945,0.23812257259765,2.22559848547653,15.0993005033771,0.244830643287615,0.0170362794945742,0.0159102762467683,0.788824005312621,0.0199861209186051,0.0156239294545291,0.113878047695648,0.13905784965912,0.218382667037184,1.86609996119828,0.988696265358388,0.133194801657721,0.505680322585519,0.00510854719812911,0.0403764345608386,0.351008193786457,0.001009829129664,1.85077731545803,0.0409013928136141,0.240713041153525,2.01908023980889
"2612",309000,966000,19584,0.000180916091533657,0.254302502371625,2.89113078872288,15.5301592114534,0.376018078962383,0.0158185161867047,0.0162683742641705,1.22186492603803,0.0181769619902537,0.0118896025139812,0.132869327039119,0.15991528630052,0.229168924973904,2.14319961596569,1.46101265986276,0.10772817396057,1.19758782525169,0.0054577691643317,0.0617932181348061,0.279932904919905,0.0010182870245737,2.06821110360103,0.0597142166527016,0.216325677471009,2.19569278160274
"2613",309000,974000,19288,0.000155285792808936,0.338408456413886,2.23710542881594,15.9658121075139,0.325044513186717,0.015746276509474,0.0158649348909968,1.35211771092508,0.0115500932833637,0.00866385004546363,0.0789189429976253,0.146572715539629,0.212162934253163,1.88904909793694,1.94134697867124,0.188214563350569,0.788205610987826,0.00580507080465766,0.0853067655543275,0.162570367954505,0.00103879230245838,2.26376790415767,0.0831239442868674,0.376063590017067,2.34653138554831
"2614",309000,982000,18992,0.000133995106232021,0.322235266027063,1.11622757505704,16.5434721682003,0.32079106959736,0.0139947252819393,0.0135976999116918,1.03944679378784,0.011779935686127,0.00636223348096012,0.0303261594012884,0.131814400384995,0.176024265680787,1.54303263178138,2.16013452748963,0.385000650899445,0.474793241116415,0.00667921396922664,0.0651931371444275,0.102359937321776,0.00101197727735737,2.40762463515077,0.0657475320430844,0.617233563413439,2.46992127282119
"2615",309000,990000,18696,0.000118658098824789,0.320593123608903,0.72681690011998,17.1114702364052,0.50800616655413,0.0120286629035905,0.0117687324474341,1.03637969827543,0.0164558920686777,0.00506177481035889,0.0130342291408466,0.134602583612825,0.172587666123848,1.480903748568,2.11670442828995,0.345733923429838,0.422651551359818,0.00865768222362095,0.0503829029384921,0.0883835988492957,0.000974591438711035,2.55563822736435,0.0498231834472568,0.509904786110294,2.56093028103546
"2616",309000,998000,18400,0.000111546716465992,0.418869900978294,0.788364278088875,17.5992698043324,1.24128458128797,0.0124092997033318,0.0113603414501951,1.36546249624981,0.0332184425990665,0.00437630166702031,0.0124333057065203,0.164662579199142,0.228005418599729,1.86185759646666,1.80926591175552,0.244323901970702,0.328584563273365,0.0138653664746416,0.0616996720503654,0.103673050451177,0.000960505523121077,2.74929503948524,0.0608184908343313,0.354558706700167,2.73131307059148
"2617",317000,1006000,18105,0.000114825142331492,0.354177352935568,0.523943210579647,16.0822760372097,1.29307392090084,0.0108242961101159,0.00699077262502082,0.869674615968039,0.0391127849412192,0.00348520565915221,0.00934031011931938,0.124247267322525,0.116908149674759,1.37565882067683,1.16415914245171,0.401077969196777,0.100139782929626,0.0165077984270837,0.0637602188442283,0.0736577266525797,0.000772102860012979,2.92390506390267,0.0628545789402609,0.471139372013871,2.94639978735987
"2618",317000,1014000,17809,0.000118733092024361,0.507392063360872,0.562865911965655,16.04187344572,1.73465114074751,0.00995088347722034,0.00673222744666607,0.938563779157528,0.0573211685814846,0.00319250107848815,0.0158103167501633,0.141486925487739,0.130882025246638,1.44317925748215,0.865323326277143,0.469463823316336,0.0722094915114213,0.0216706445316917,0.0778732580084215,0.0638693259379519,0.000676019900963362,3.06235420234893,0.0779520075308523,0.501061671870322,3.02354792819912
"2619",317000,1022000,17513,0.000130063824563043,0.778861449687711,0.683309537697098,16.4261638283415,2.19748807154864,0.0104805978617854,0.00685747167073672,1.1248210924811,0.0768379069874427,0.0031208880131464,0.0227793095034497,0.152624558903665,0.154760574649339,1.66276304269171,0.803654057685376,0.771112967117495,0.0803076368060474,0.0295497074996647,0.12350421299307,0.0590688952878461,0.000627983962536451,3.16267266295676,0.123505489817513,0.737467016250357,3.06851196833951
"2620",317000,1030000,17217,0.000140039759237924,0.505991955661178,0.377754032178438,16.7043985823985,1.93524232903823,0.00879498743799691,0.00634976307428129,0.56106554959426,0.0647754605642203,0.00300607679057673,0.015978100137755,0.0949295713673767,0.10179425176397,1.15653450779471,0.621728809655687,0.703546510542541,0.0714101797499247,0.0293304564067817,0.223261916408815,0.0384508030340125,0.000569489351879002,3.11852682404331,0.223589429943829,0.654727869962146,3.08740449657035
"2621",317000,1038000,16921,0.000163765421105339,0.563687563931362,0.433522035951558,17.2078800531485,2.16756412972004,0.00939177281096199,0.00646523710706922,0.307487175024987,0.0575189182587821,0.00299175467904428,0.0211614444896409,0.0706146604857993,0.143900102332378,1.39119027880728,0.929382497044991,1.18487857477079,0.115230572554087,0.0332859860125702,0.485445132393598,0.0363691414604565,0.000582206112379271,3.17204720960976,0.497177575999706,1.03325532335608,3.08726920104822
"2622",317000,1046000,16625,0.000193231884380276,0.399968937122641,0.525768620823553,17.5517207142029,1.75547687565766,0.0111367816001855,0.00565572961913209,0.248133806367165,0.0367855838080055,0.00285270297944719,0.031414073897316,0.0425788980321181,0.11007791023215,1.28068750883893,0.818716667214277,1.20058065708958,0.223423002688591,0.0312068657445932,0.335986105263767,0.0333665109545044,0.00058989539974898,3.03100915861293,0.335324889133417,1.10223972300272,3.05851660302867
"2623",317000,1054000,16329,0.000242346327378229,0.375421922860597,0.738441846118899,18.0688386247018,1.54536089708663,0.0164454930209901,0.00550960392431052,0.390015369986931,0.0300566524027134,0.00280765731730051,0.0398911379327269,0.0313591825634512,0.101121814925974,1.46822275128518,1.03486216561608,1.71548015612415,0.54798843833832,0.0342137670164446,0.344635570993273,0.0391315907583457,0.000688388192357,3.05760500463408,0.342119511050013,1.630946849805,3.02031232243616
