"","PINUSX","prairie","QUERCUS","BETULA","other_herbs","CYPERACE","ALNUSX","OSTRYCAR","ULMUS","TSUGAX","PICEAX","ACERX","FRAXINUX","POPULUS","CUPRESSA","other_trees","LARIXPSEU","FAGUS","CARYA","TILIA","ABIES","JUGLANSX","site.name","age_bacon","site_index_pol"
"164",102,48,50,3,11,19,3,12,13,0,2,5,3,0,0,1,0,0,0,0,1,0,"Iola Bog",6468.1,"64"
"165",134,24,24,6,10,17,2,16,19,0,0,0,1,0,0,0,1,0,0,1,0,0,"Iola Bog",6758.82,"64"
"166",106,26,62,6,11,27,4,13,25,0,2,3,2,0,0,1,1,0,0,1,1,2,"Iola Bog",7057.78,"64"
"167",148,18,14,3,19,6,2,5,23,0,0,1,1,0,0,0,0,0,1,0,1,0,"Iola Bog",7313.52,"64"
"168",175,18,29,6,10,12,6,16,22,0,0,0,4,0,0,0,1,0,0,0,0,0,"Iola Bog",7577.34,"64"
"169",129,32,35,11,12,13,5,22,22,0,0,2,6,0,0,1,0,0,0,1,0,0,"Iola Bog",7689.16,"64"
"170",166,29,31,7,16,11,3,7,23,0,0,1,5,0,0,0,0,0,0,0,0,1,"Iola Bog",8019.66,"64"
"171",202,12,30,4,10,8,2,10,37,0,1,2,0,0,0,0,2,0,2,1,0,0,"Iola Bog",8190.7,"64"
"172",163,18,32,4,18,11,2,4,24,0,0,0,8,0,0,1,0,0,1,0,2,1,"Iola Bog",8354.22,"64"
"173",175,15,36,10,20,6,2,15,29,0,0,2,11,0,0,0,0,0,6,0,0,3,"Iola Bog",8499.98,"64"
"174",164,6,30,6,40,7,1,11,15,0,4,1,5,0,0,0,0,0,1,1,0,4,"Iola Bog",8672.04,"64"
"175",184,17,31,20,25,6,1,12,33,0,6,0,8,0,0,2,0,0,6,0,0,2,"Iola Bog",8813.84,"64"
"176",156,14,37,9,18,12,2,8,23,0,12,0,14,0,0,0,0,0,3,0,2,5,"Iola Bog",8947.6,"64"
"177",263,14,28,23,35,1,4,13,32,0,10,2,11,0,0,1,1,0,1,0,1,1,"Iola Bog",9104.54,"64"
"178",170,10,13,12,14,2,1,6,21,0,9,2,11,0,0,1,0,0,2,0,2,1,"Iola Bog",9265.6,"64"
"179",268,15,21,25,17,10,2,3,16,0,32,0,11,0,0,4,0,0,1,0,0,3,"Iola Bog",9395.02,"64"
"180",239,16,16,7,46,6,1,5,16,0,31,1,18,0,0,2,0,0,0,0,1,0,"Iola Bog",9462.02,"64"
"181",240,23,19,12,17,3,2,10,24,0,31,0,15,0,0,3,1,0,1,0,4,0,"Iola Bog",9533.84,"64"
"182",272,9,15,11,12,5,1,9,11,0,30,0,13,0,0,2,0,0,1,0,0,0,"Iola Bog",9612.32,"64"
"321",125,36,18,178,8,2,27,5,2,4,7,28,1,0,2,0,0,0,0,0,1,0,"Lost Lake",-4.5,"65"
"322",187,6,14,125,4,7,24,2,6,14,15,15,1,2,6,2,1,0,0,0,5,1,"Lost Lake",123.08,"65"
"323",270,10,15,136,7,4,20,2,2,6,15,13,2,1,5,2,0,0,1,1,4,1,"Lost Lake",326.4,"65"
"324",327,7,24,175,6,5,23,3,6,3,24,15,1,0,7,1,1,0,0,1,4,0,"Lost Lake",670.78,"65"
"325",229,9,13,158,6,5,23,3,4,11,15,14,3,0,6,2,0,0,0,0,3,0,"Lost Lake",1068.58,"65"
"326",155,7,17,107,1,5,9,3,2,4,4,7,0,1,3,3,0,0,0,0,1,1,"Lost Lake",1438.62,"65"
"327",299,11,23,167,5,5,13,5,4,12,11,14,2,0,11,0,0,0,0,0,5,0,"Lost Lake",1780.78,"65"
"328",287,0,21,146,4,3,18,8,2,9,5,9,1,0,3,1,1,0,0,0,3,1,"Lost Lake",2120.08,"65"
"329",330,3,14,169,6,4,23,4,2,3,0,7,1,0,3,1,0,0,0,2,2,0,"Lost Lake",2458.84,"65"
"330",251,5,10,57,9,2,10,6,0,2,0,3,0,0,2,0,0,0,0,0,0,0,"Lost Lake",2755.86,"65"
"331",367,4,36,68,6,4,17,10,3,0,4,10,4,0,7,1,0,0,0,0,1,0,"Lost Lake",3020.8,"65"
"332",448,7,32,46,4,2,18,6,5,4,4,17,3,3,4,0,0,0,0,2,2,0,"Lost Lake",3631.92,"65"
"333",364,12,18,73,7,4,14,10,5,2,3,13,1,0,2,0,0,0,0,0,2,0,"Lost Lake",3923.32,"65"
"334",475,5,24,45,4,10,6,7,7,17,3,13,2,1,5,1,0,0,0,0,0,1,"Lost Lake",4212.8,"65"
"335",445,8,18,25,4,3,6,8,7,21,3,11,2,0,5,1,0,0,1,3,3,1,"Lost Lake",4493.18,"65"
"336",581,9,23,32,7,6,15,11,6,68,2,8,7,1,2,1,1,0,1,1,2,0,"Lost Lake",4781.28,"65"
"337",517,8,27,26,5,1,8,5,4,26,1,5,6,1,1,0,0,0,1,0,0,0,"Lost Lake",5080,"65"
"338",638,10,20,35,2,4,12,11,2,23,0,11,4,0,4,1,0,0,0,0,2,0,"Lost Lake",5378.86,"65"
"339",599,9,14,13,0,0,5,10,3,8,1,3,3,3,0,0,2,0,0,1,0,0,"Lost Lake",5651.62,"65"
"340",858,8,31,39,9,4,17,21,7,6,1,14,2,2,4,3,1,0,0,0,4,0,"Lost Lake",5929.9,"65"
"341",694,8,22,24,1,2,4,9,3,0,2,4,3,5,4,1,0,0,0,1,2,0,"Lost Lake",6209.94,"65"
"342",1100,9,22,24,3,3,4,10,5,0,0,6,6,3,3,4,1,0,0,0,0,0,"Lost Lake",6506.34,"65"
"343",835,12,36,39,3,4,6,12,5,0,1,4,4,0,1,0,2,0,0,1,1,0,"Lost Lake",6803.66,"65"
"344",914,6,18,29,0,3,5,9,9,0,1,6,4,1,1,1,0,0,0,0,0,0,"Lost Lake",7120.62,"65"
"345",859,7,36,33,2,4,7,9,9,0,1,7,4,1,2,5,1,0,0,0,1,0,"Lost Lake",7418.02,"65"
"346",954,19,12,31,5,2,6,10,8,0,2,5,4,0,1,0,3,0,0,0,3,0,"Lost Lake",7694.84,"65"
"347",915,10,3,34,6,2,3,2,1,0,2,2,1,4,0,0,2,0,0,0,1,0,"Lost Lake",7983.92,"65"
"348",635,17,7,56,6,1,23,4,5,0,17,1,5,2,0,0,4,0,0,0,10,0,"Lost Lake",8264.86,"65"
"349",405,11,10,55,3,3,45,9,1,0,8,1,2,5,4,1,1,0,1,0,6,0,"Lost Lake",8618.32,"65"
"350",517,23,9,59,41,1,119,8,7,0,13,2,5,2,1,4,2,0,3,0,2,0,"Lost Lake",8939.64,"65"
"351",350,7,8,32,11,2,5,5,16,0,28,0,1,0,1,2,3,0,1,0,1,0,"Lost Lake",9257.9,"65"
"352",523,10,35,27,4,4,1,12,37,0,39,2,7,5,1,6,5,0,2,0,14,0,"Lost Lake",9628.1,"65"
"354",497,94,27,118,106,10,82,11,6,0,72,8,9,5,0,3,2,0,0,0,3,0,"Third Lake",192.84,"66"
"355",285,48,11,71,50,2,33,4,2,0,22,0,1,4,0,3,4,0,0,0,5,0,"Third Lake",267.42,"66"
"356",226,24,12,72,60,2,30,6,3,0,37,1,1,0,0,1,1,0,0,0,1,0,"Third Lake",342,"66"
"357",267,20,0,52,54,2,35,3,1,0,35,0,0,1,0,3,3,0,1,0,1,0,"Third Lake",409.12,"66"
"358",291,44,8,73,107,8,63,14,5,2,50,0,3,7,0,4,2,0,2,0,2,0,"Third Lake",515.26,"66"
"359",316,26,8,69,54,6,42,6,2,0,33,1,3,5,0,5,2,0,0,0,0,0,"Third Lake",690.62,"66"
"360",216,19,5,45,61,4,18,1,2,0,27,0,1,3,0,0,1,0,0,0,1,0,"Third Lake",900.8,"66"
"361",495,38,12,100,241,8,50,10,4,1,68,2,6,5,2,1,0,0,0,0,3,0,"Third Lake",1084.6,"66"
"362",356,36,9,65,95,2,42,4,7,0,30,0,0,1,0,2,0,0,0,0,1,0,"Third Lake",1269.84,"66"
"363",417,26,9,90,44,4,44,2,2,1,32,2,4,1,0,3,3,0,0,0,2,0,"Third Lake",1621.24,"66"
"364",218,22,5,49,43,2,37,0,0,0,20,1,2,2,1,3,2,0,0,1,2,0,"Third Lake",1823.84,"66"
"365",330,24,10,78,40,7,44,0,1,0,25,2,1,0,0,1,0,0,0,0,0,0,"Third Lake",2011.44,"66"
"366",223,10,9,35,25,2,38,2,0,0,15,0,4,0,0,1,1,0,0,0,1,0,"Third Lake",2395.08,"66"
"367",515,39,18,114,37,4,92,1,4,1,22,3,3,0,0,3,3,0,0,0,0,0,"Third Lake",2777.6,"66"
"368",261,21,15,81,11,3,51,2,2,0,8,0,3,2,0,4,0,0,0,0,1,0,"Third Lake",3118.32,"66"
"369",243,26,9,47,10,1,29,0,5,0,5,0,1,1,1,1,3,0,0,1,2,0,"Third Lake",3490.54,"66"
"370",314,25,11,53,20,6,64,2,3,0,8,0,5,0,0,6,0,0,0,0,2,0,"Third Lake",4140.18,"66"
