"","PINUSX","prairie","QUERCUS","BETULA","other_herbs","CYPERACE","ALNUSX","OSTRYCAR","ULMUS","TSUGAX","PICEAX","ACERX","FRAXINUX","POPULUS","CUPRESSA","other_trees","LARIXPSEU","FAGUS","CARYA","TILIA","ABIES","JUGLANSX","site.name","age_bacon","site_index_pol"
"803",37,312,239,15,28,30,1,136,167,0,6,5,14,0,1,11,0,0,15,19,0,1,"Kimble Pond",8647.93478572948,"44"
"804",24,185,104,8,13,11,1,63,101,0,6,3,5,0,0,1,0,0,5,18,0,0,"Kimble Pond",8663.57535622647,"44"
"805",32,251,116,13,25,19,0,71,114,0,7,3,4,0,0,1,0,0,9,16,1,2,"Kimble Pond",8679.21592672345,"44"
"806",6,154,119,0,33,18,1,118,119,0,30,2,7,0,1,5,0,0,10,18,0,1,"Kimble Pond",8694.85649722043,"44"
"807",23,115,137,22,21,15,1,53,107,0,2,3,5,0,2,3,0,0,19,17,0,3,"Kimble Pond",8710.49706771742,"44"
"808",37,153,174,12,41,31,5,77,123,0,10,5,6,0,0,1,0,0,17,15,0,7,"Kimble Pond",8726.13763821441,"44"
"809",20,153,161,3,28,21,1,94,85,0,4,3,6,0,1,2,0,0,14,18,0,2,"Kimble Pond",8741.77820871139,"44"
"810",47,153,106,7,57,38,1,45,75,0,8,2,7,0,0,3,0,0,24,21,0,5,"Kimble Pond",8758.16872185644,"44"
"811",37,150,117,6,42,27,2,39,60,0,9,3,3,0,2,3,0,0,22,20,2,5,"Kimble Pond",8776.8090629457,"44"
"812",25,147,139,31,36,14,0,15,61,0,2,2,11,0,1,5,0,0,26,24,0,5,"Kimble Pond",8795.44940403496,"44"
"813",38,138,163,10,36,31,1,62,82,0,4,3,6,0,1,1,0,0,20,14,0,2,"Kimble Pond",8814.08974512422,"44"
"814",26,161,121,10,42,17,4,36,85,0,7,3,4,0,0,1,0,0,23,16,1,6,"Kimble Pond",8832.73008621348,"44"
"815",14,98,110,6,23,13,1,32,39,0,4,0,5,0,1,3,0,0,18,10,0,3,"Kimble Pond",8870.010768392,"44"
"816",39,167,121,32,74,23,1,12,64,0,3,8,15,0,2,5,0,0,18,9,0,3,"Kimble Pond",8888.65110948126,"44"
"817",50,173,90,6,61,32,2,21,68,0,6,2,10,0,2,0,0,0,14,5,0,4,"Kimble Pond",8907.29145057052,"44"
"8181",68,241,102,22,64,15,5,34,91,0,11,3,8,0,0,3,0,0,15,12,2,3,"Kimble Pond",8925.93179165978,"44"
"8191",36,231,78,1,64,37,4,37,57,0,4,4,3,0,1,1,0,0,8,16,0,4,"Kimble Pond",8947.17319968778,"44"
"8201",26,151,61,9,41,31,1,28,48,0,4,1,3,0,2,2,0,0,8,9,1,4,"Kimble Pond",8976.21780853202,"44"
"8211",30,170,76,18,29,25,1,32,100,0,2,8,6,0,2,2,0,0,8,12,0,5,"Kimble Pond",9005.26241737627,"44"
"8221",12,126,81,3,25,12,4,121,136,0,2,2,8,0,3,0,0,0,24,5,0,3,"Kimble Pond",9034.30702622051,"44"
"8231",16,100,80,1,31,17,0,79,261,0,3,2,19,0,3,0,0,0,55,24,0,11,"Kimble Pond",9063.35163506475,"44"
"8241",31,149,89,5,33,20,3,81,120,0,2,1,8,0,1,0,0,0,18,23,0,4,"Kimble Pond",9092.39624390899,"44"
"8251",33,129,108,11,31,14,4,40,85,0,2,3,4,0,1,2,0,0,7,27,1,2,"Kimble Pond",9121.44085275323,"44"
"8261",24,127,35,8,15,11,2,17,59,0,1,0,1,0,1,4,0,0,10,2,0,3,"Kimble Pond",9150.48546159747,"44"
"8271",19,90,170,3,23,12,1,64,132,0,4,10,7,1,1,1,0,0,7,12,0,6,"Kimble Pond",9490.69316975744,"44"
"8281",29,74,126,0,25,11,2,53,147,0,3,3,4,1,0,0,0,0,27,14,0,8,"Kimble Pond",9631.21774648355,"44"
"8291",26,142,125,11,30,9,2,19,122,0,1,3,2,0,3,6,0,0,20,16,0,3,"Kimble Pond",9771.70754735322,"44"
"8301",24,87,135,4,43,7,0,40,191,0,2,1,4,3,0,1,0,0,32,12,1,8,"Kimble Pond",9919.48145767345,"44"
"8311",15,92,172,10,19,23,1,46,111,0,0,1,9,0,3,2,0,0,54,17,0,2,"Kimble Pond",10068.5407990732,"44"
"8321",37,104,78,14,52,10,1,119,75,0,2,3,2,0,1,1,0,0,11,10,0,7,"Kimble Pond",10210.5456686091,"44"
"8331",19,88,156,9,20,8,1,61,169,0,4,3,0,0,0,0,0,0,54,29,0,3,"Kimble Pond",10351.3056313456,"44"
"8341",17,96,160,4,20,10,1,47,201,0,2,2,2,0,1,0,0,0,41,23,0,3,"Kimble Pond",10566.0357181255,"44"
"8351",12,54,63,4,14,7,2,68,321,0,2,5,1,0,0,0,0,0,14,14,0,5,"Kimble Pond",10709.068302551,"44"
"8361",10,49,81,4,7,5,1,68,305,0,1,4,0,0,0,0,0,0,17,14,0,7,"Kimble Pond",10851.3826495019,"44"
"8371",20,51,81,3,11,3,1,78,323,0,0,1,4,0,0,1,0,0,22,16,1,2,"Kimble Pond",10992.9412638093,"44"
"8381",10,66,86,30,11,2,2,59,255,0,0,4,9,1,1,0,0,0,15,22,0,1,"Kimble Pond",11133.0963746359,"44"
"8391",16,67,177,5,10,1,1,15,272,0,0,12,24,2,0,6,0,0,22,22,0,0,"Kimble Pond",11273.8001374462,"44"
"1019",27,171,65,14,23,20,11,2,10,0,0,1,7,6,0,10,0,0,0,1,2,0,"West Olaf Lake",4078.63054637813,"45"
"1020",51,177,37,6,23,5,7,0,3,0,0,1,3,2,0,24,0,0,0,1,0,0,"West Olaf Lake",4292.39689373875,"45"
"10211",36,179,69,4,34,15,9,1,4,0,0,0,3,0,0,6,0,0,0,2,0,0,"West Olaf Lake",4366.87556674977,"45"
"1022",29,205,55,4,16,18,10,5,8,0,0,0,4,0,0,23,0,0,0,4,0,1,"West Olaf Lake",4438.81706770589,"45"
"1023",22,191,51,9,17,24,10,1,3,0,1,2,8,0,0,17,0,0,0,1,1,0,"West Olaf Lake",4510.08067600258,"45"
"1024",36,157,67,17,16,21,7,3,1,0,0,0,3,0,0,12,0,0,0,0,1,0,"West Olaf Lake",4584.7369135309,"45"
"1025",35,164,55,8,33,26,12,2,2,0,0,1,1,5,0,20,0,0,0,1,2,0,"West Olaf Lake",4725.36774592428,"45"
"1026",43,197,40,7,18,23,8,0,0,0,0,0,4,1,0,13,0,0,0,0,0,0,"West Olaf Lake",4796.40984003951,"45"
"1027",65,187,63,5,24,26,8,1,6,0,0,1,2,0,0,9,0,0,0,0,1,0,"West Olaf Lake",4865.52538564233,"45"
"1028",33,211,63,7,9,26,6,1,5,0,0,2,5,0,0,23,0,0,0,0,1,1,"West Olaf Lake",4934.32370583989,"45"
"1029",20,188,61,4,26,30,8,0,6,0,0,2,4,1,0,25,1,0,0,0,1,0,"West Olaf Lake",5005.14078305244,"45"
"1030",31,198,34,11,12,29,5,1,1,0,0,1,3,0,0,15,0,0,0,0,2,0,"West Olaf Lake",5072.97480929539,"45"
"10311",27,239,23,5,40,63,9,0,2,0,0,2,1,4,0,19,0,0,0,0,3,1,"West Olaf Lake",5142.42590671745,"45"
"1032",31,214,37,7,20,19,11,2,1,0,1,0,2,0,0,14,0,0,0,0,2,0,"West Olaf Lake",5168.96028144413,"45"
"1033",29,213,30,7,24,25,12,4,6,0,3,0,1,3,0,14,0,0,0,0,0,0,"West Olaf Lake",5214.79238324476,"45"
"1034",36,220,40,11,29,23,15,0,7,0,1,4,2,0,0,14,0,0,0,0,0,0,"West Olaf Lake",5317.56639308193,"45"
"1035",40,177,83,10,15,29,12,3,13,0,1,2,4,1,0,7,0,0,0,0,0,0,"West Olaf Lake",5418.98607510937,"45"
"1036",31,186,51,4,23,29,5,3,8,0,0,3,4,0,0,5,0,0,0,0,1,0,"West Olaf Lake",5523.07118138232,"45"
"10371",18,187,82,4,17,25,5,2,10,0,2,0,4,0,0,1,0,0,0,0,0,0,"West Olaf Lake",5627.40232130897,"45"
"10381",18,154,77,0,18,7,6,0,14,0,0,5,1,3,0,13,1,0,0,0,0,0,"West Olaf Lake",5745.26752668076,"45"
"10391",17,222,101,4,20,11,3,1,10,0,0,0,3,0,0,12,0,0,0,0,0,2,"West Olaf Lake",5836.55165956538,"45"
"10401",45,177,54,3,11,16,8,1,8,0,0,2,0,0,0,5,0,0,0,0,0,3,"West Olaf Lake",5938.88829319704,"45"
"10411",23,239,32,3,20,5,12,0,2,0,2,0,5,0,0,6,0,0,0,0,0,0,"West Olaf Lake",6043.97853651588,"45"
"10421",41,188,74,0,13,4,12,1,6,0,0,8,1,1,0,4,0,0,0,0,0,0,"West Olaf Lake",6149.16230111016,"45"
"10431",34,180,70,3,22,23,8,3,11,0,0,0,2,1,0,5,0,0,0,0,0,0,"West Olaf Lake",6183.63698984696,"45"
"10441",22,184,118,4,12,25,8,4,14,0,0,0,2,0,0,8,0,0,0,0,0,0,"West Olaf Lake",6218.11167858376,"45"
"10451",41,206,25,2,28,25,5,1,3,0,0,0,1,5,0,6,0,0,1,0,1,0,"West Olaf Lake",6252.58636732057,"45"
"10461",41,205,27,9,24,18,7,2,5,0,0,0,0,0,0,7,0,0,0,0,0,0,"West Olaf Lake",6303.62543963323,"45"
"10471",44,186,32,12,25,13,11,3,19,0,0,4,1,1,0,14,0,0,0,0,0,2,"West Olaf Lake",6354.66451194589,"45"
"10481",16,169,89,10,34,10,8,2,9,0,0,0,7,0,0,6,0,0,0,0,0,0,"West Olaf Lake",6455.22720326704,"45"
"10491",29,172,67,3,43,17,8,2,14,0,0,4,2,2,0,22,3,0,0,0,0,1,"West Olaf Lake",6559.77875136066,"45"
"10501",34,209,60,4,18,11,3,2,20,0,0,2,1,1,0,3,0,0,0,0,0,0,"West Olaf Lake",6682.27686035042,"45"
"10511",19,206,69,0,32,9,1,1,3,0,0,7,12,5,0,6,1,0,0,1,0,0,"West Olaf Lake",6770.41079334532,"45"
"10521",26,188,116,4,13,0,1,1,6,0,0,1,4,1,0,2,0,0,0,0,0,0,"West Olaf Lake",6895.18544866249,"45"
"10531",28,142,133,5,20,24,2,1,11,0,0,3,2,0,0,2,0,0,0,0,0,0,"West Olaf Lake",6949.12451943799,"45"
"10541",21,339,60,6,23,2,3,2,16,0,0,0,2,0,1,3,0,0,0,0,0,0,"West Olaf Lake",7030.03312560123,"45"
"10551",28,154,117,3,24,11,2,5,12,0,1,1,3,2,0,1,0,0,1,1,0,0,"West Olaf Lake",7093.50996584796,"45"
"10561",17,181,104,5,22,6,4,2,14,0,1,2,3,0,0,7,0,0,1,0,0,0,"West Olaf Lake",7166.05492612993,"45"
"10571",12,236,129,2,38,5,1,2,16,0,1,0,6,0,0,2,0,0,0,0,0,0,"West Olaf Lake",7231.60395605029,"45"
"10581",20,297,63,8,33,11,4,0,7,0,0,0,2,0,0,25,0,0,0,0,0,0,"West Olaf Lake",7306.51713310213,"45"
"10591",32,217,54,2,23,18,4,2,12,0,3,0,0,0,0,13,0,0,0,0,0,0,"West Olaf Lake",7371.06914113882,"45"
"10601",16,277,21,2,16,4,3,1,3,0,0,2,0,2,0,10,0,0,0,0,1,0,"West Olaf Lake",7444.84286460932,"45"
"10611",25,204,18,21,26,13,5,4,6,0,4,0,0,0,0,8,0,0,0,0,0,0,"West Olaf Lake",7514.87038524277,"45"
"10621",42,206,28,8,37,8,12,6,7,0,0,1,2,1,0,8,1,0,2,0,0,0,"West Olaf Lake",7584.89790587622,"45"
"10631",39,240,34,10,24,30,7,7,12,0,2,0,7,1,0,13,0,0,0,0,0,0,"West Olaf Lake",7686.10406450243,"45"
"10641",34,215,18,17,18,26,8,3,13,0,4,0,1,4,0,7,0,0,1,0,4,2,"West Olaf Lake",7801.76824578953,"45"
"10651",25,218,36,13,22,19,7,2,7,0,0,0,2,0,0,10,0,0,0,0,0,0,"West Olaf Lake",7905.37296324878,"45"
"10661",33,212,43,5,37,12,11,5,9,0,0,2,0,1,0,16,0,0,0,0,0,1,"West Olaf Lake",8023.77835463077,"45"
"10671",26,218,45,9,26,23,7,2,8,0,2,0,2,0,0,13,0,0,0,0,0,0,"West Olaf Lake",8096.63240158823,"45"
"10681",33,225,33,17,21,7,22,2,10,0,0,0,3,0,0,9,0,0,0,1,0,0,"West Olaf Lake",8169.48644854569,"45"
"10691",41,197,30,14,18,15,11,2,10,0,3,0,9,0,0,10,0,0,1,0,0,1,"West Olaf Lake",8242.34049550315,"45"
"10701",52,224,29,11,19,18,7,1,11,0,0,0,0,0,0,11,0,0,0,0,0,0,"West Olaf Lake",8313.50262660948,"45"
"10711",26,179,29,9,16,17,8,6,10,0,0,0,1,1,0,16,0,0,0,0,0,0,"West Olaf Lake",8384.66475771581,"45"
"10721",46,314,15,8,46,25,8,3,18,0,0,0,4,17,0,18,0,0,0,0,0,1,"West Olaf Lake",8455.82688882214,"45"
"10731",62,176,26,7,45,22,5,2,18,0,5,1,0,1,0,6,0,0,0,0,0,0,"West Olaf Lake",8529.11885339902,"45"
"10741",20,214,18,11,23,13,9,2,7,0,1,0,0,1,0,12,0,0,0,0,0,0,"West Olaf Lake",8602.41081797591,"45"
"10751",21,217,23,16,25,19,6,1,5,0,5,1,0,1,0,11,0,0,0,0,0,0,"West Olaf Lake",8675.7027825528,"45"
"10761",42,242,28,9,23,4,6,2,7,0,1,0,1,3,0,13,0,0,0,0,0,0,"West Olaf Lake",8747.71680886668,"45"
"10771",41,147,54,8,28,27,10,5,16,0,2,1,1,7,0,7,0,0,1,0,0,0,"West Olaf Lake",8826.93223781195,"45"
"10781",25,323,17,4,22,10,10,5,24,0,0,0,0,0,0,3,0,0,0,0,0,1,"West Olaf Lake",8891.74486149445,"45"
"10791",55,107,70,25,7,13,7,30,10,0,9,0,0,0,0,8,0,0,1,4,0,0,"West Olaf Lake",557.216777885947,"45"
"10801",67,101,83,36,13,19,1,36,7,0,4,0,2,0,0,5,0,0,0,3,0,0,"West Olaf Lake",1099.35078686443,"45"
"10811",38,132,101,58,14,24,4,43,9,0,2,0,3,0,0,3,0,0,0,1,0,0,"West Olaf Lake",1365.9898245449,"45"
"10821",19,78,138,56,11,25,2,16,9,0,2,0,5,4,0,3,0,0,1,3,0,0,"West Olaf Lake",1698.70973167053,"45"
"10831",42,125,87,37,8,19,8,12,13,0,3,0,8,14,0,7,0,0,1,2,0,0,"West Olaf Lake",1953.27131452281,"45"
"10841",35,143,91,27,15,30,7,23,15,0,1,1,11,2,0,2,0,0,0,3,0,0,"West Olaf Lake",2227.00347037378,"45"
"10851",48,125,79,11,22,31,6,14,4,0,0,0,4,3,0,6,0,0,0,4,0,1,"West Olaf Lake",2545.89260551812,"45"
"10861",34,128,78,39,18,26,16,5,5,0,1,1,8,3,0,8,0,0,0,18,2,0,"West Olaf Lake",2954.00484114076,"45"
"10871",24,156,71,19,16,13,19,7,14,0,0,1,3,0,0,11,0,0,0,17,0,0,"West Olaf Lake",3147.82424278278,"45"
"10881",33,145,98,9,9,13,4,3,11,0,0,1,4,0,0,7,0,0,0,8,0,0,"West Olaf Lake",3316.27579478935,"45"
"10891",18,145,91,6,20,18,9,3,4,0,0,1,7,3,0,30,0,0,0,2,0,0,"West Olaf Lake",3482.6934640491,"45"
"10901",32,160,72,32,13,32,20,13,8,0,0,1,6,4,0,11,0,0,0,2,0,0,"West Olaf Lake",3650.99297491146,"45"
"10911",18,156,83,7,16,22,10,1,2,0,0,0,5,1,0,9,0,0,0,6,0,1,"West Olaf Lake",3862.93624737919,"45"
"1226",346,4,12,73,3,0,3,0,0,28,0,0,0,0,0,0,0,0,0,1,1,0,"Glimmerglass Lake",377.427801253482,"46"
"1227",350,9,12,64,3,0,7,2,0,0,7,11,6,0,0,0,0,0,0,0,2,2,"Glimmerglass Lake",4012.138955154,"46"
"1228",203,8,9,35,5,0,3,3,0,4,7,15,2,0,0,0,0,0,0,2,2,3,"Glimmerglass Lake",4267.47826358589,"46"
"1229",378,3,17,56,4,0,5,3,1,2,4,9,1,0,0,0,0,0,0,1,3,2,"Glimmerglass Lake",4521.29501566085,"46"
"1230",358,4,11,49,15,0,5,2,3,2,3,16,4,0,0,0,0,0,0,0,6,1,"Glimmerglass Lake",4781.16496674119,"46"
"1231",320,2,16,59,13,0,5,3,3,3,7,9,7,0,0,0,0,0,0,5,7,1,"Glimmerglass Lake",5035.27179127131,"46"
"1232",336,9,15,65,4,0,5,1,2,4,8,9,2,0,0,0,0,0,0,2,1,2,"Glimmerglass Lake",5283.61548925119,"46"
"1233",322,15,14,59,14,0,5,1,4,3,4,11,4,0,0,0,0,0,1,2,1,1,"Glimmerglass Lake",5568.31616451481,"46"
"1234",402,7,19,35,16,0,2,1,3,0,1,6,5,0,0,0,0,0,0,3,0,0,"Glimmerglass Lake",5657.96983863028,"46"
"1235",402,7,13,29,25,0,2,4,5,3,0,6,3,0,0,0,0,0,0,1,0,1,"Glimmerglass Lake",5747.62351274573,"46"
"1236",384,4,10,37,3,0,4,1,2,15,3,10,6,0,1,0,0,0,0,3,5,1,"Glimmerglass Lake",5837.2771868612,"46"
"1237",284,10,29,50,22,0,2,5,7,9,5,11,4,0,0,0,0,0,0,2,3,0,"Glimmerglass Lake",5939.639103925,"46"
"1238",446,6,12,34,7,0,2,0,6,2,0,3,0,0,0,0,0,0,1,1,3,0,"Glimmerglass Lake",6042.0010209888,"46"
"1239",386,12,21,27,17,0,1,2,4,5,0,9,4,0,0,0,0,0,0,2,3,0,"Glimmerglass Lake",6144.3629380526,"46"
"1240",172,1,6,75,2,0,6,0,0,25,0,7,0,0,0,0,0,0,0,1,0,0,"Glimmerglass Lake",41.2992394555116,"46"
"1241",370,2,11,83,5,0,3,0,0,9,0,3,0,0,0,0,0,0,0,2,1,0,"Glimmerglass Lake",798.758863693809,"46"
"1242",352,11,25,44,19,0,1,2,5,0,2,10,1,0,0,0,0,0,1,3,0,4,"Glimmerglass Lake",6333.74716691691,"46"
"1243",456,4,17,18,2,0,4,1,4,0,7,9,2,0,0,0,0,0,0,0,0,4,"Glimmerglass Lake",6712.51562464555,"46"
"1244",458,8,12,26,21,0,1,7,6,0,3,6,5,0,0,0,0,0,1,0,0,0,"Glimmerglass Lake",7102.94840073669,"46"
"1245",488,2,11,16,10,0,0,3,6,0,3,0,1,0,0,0,0,0,1,1,0,1,"Glimmerglass Lake",7505.38442701098,"46"
"1246",424,10,13,26,5,0,1,5,9,0,1,5,2,0,0,0,0,0,2,1,7,2,"Glimmerglass Lake",7919.82370346842,"46"
"1247",448,11,8,50,3,0,2,5,6,0,4,4,1,0,0,0,0,0,0,1,3,4,"Glimmerglass Lake",8318.74321178518,"46"
"1248",338,17,7,64,14,0,1,2,12,0,3,3,4,0,0,0,0,0,0,0,3,0,"Glimmerglass Lake",8724.13337320187,"46"
"1249",330,35,9,29,26,0,11,5,12,0,0,4,4,0,0,0,1,0,0,0,0,0,"Glimmerglass Lake",9135.99418771846,"46"
"1250",308,8,12,63,5,0,6,0,20,0,14,10,3,0,0,0,0,0,0,1,2,2,"Glimmerglass Lake",9556.19330488527,"46"
"1251",412,11,7,20,0,0,2,0,10,0,28,4,1,0,0,0,0,0,0,0,3,6,"Glimmerglass Lake",9965.15369006975,"46"
"1252",364,3,5,68,8,0,6,0,0,25,0,2,0,0,0,0,0,0,0,0,0,0,"Glimmerglass Lake",1221.260286327,"46"
"1253",284,19,6,11,7,0,1,0,13,0,70,12,15,0,0,0,0,0,0,0,0,4,"Glimmerglass Lake",10362.8753432719,"46"
"1254",28,12,8,32,2,0,3,2,11,0,122,5,22,0,0,0,0,0,0,0,0,4,"Glimmerglass Lake",10561.736169873,"46"
"1255",284,10,11,106,2,0,3,0,0,14,0,1,0,0,0,0,0,0,0,0,1,1,"Glimmerglass Lake",1671.16557503586,"46"
"1256",366,3,7,53,1,0,5,0,0,38,0,1,0,0,0,0,0,0,0,0,2,6,"Glimmerglass Lake",2115.87774696982,"46"
"1257",342,6,10,78,4,0,5,0,0,16,0,0,0,0,0,0,0,0,0,0,1,6,"Glimmerglass Lake",2555.39680212889,"46"
"1258",372,6,9,62,3,0,0,0,0,17,1,2,0,0,0,0,0,0,0,3,2,1,"Glimmerglass Lake",3008.98502645271,"46"
"1259",422,11,2,45,1,0,7,0,0,5,6,7,0,0,0,0,0,0,0,0,2,3,"Glimmerglass Lake",3408.94512253147,"46"
"1260",376,15,11,55,1,0,10,0,0,2,3,9,1,0,0,0,0,0,0,0,2,3,"Glimmerglass Lake",3755.27709036518,"46"
"1293",117,5,12,95,3,0,5,1,3,18,2,20,2,0,0,0,0,2,0,0,1,0,"Tower Lake",2748.07290754974,"47"
"1294",193,5,10,92,9,0,2,1,0,13,3,11,0,0,0,1,0,0,0,0,1,0,"Tower Lake",2929.52090375462,"47"
"1295",131,4,13,76,7,0,2,3,2,8,8,6,2,0,0,1,0,0,0,1,1,0,"Tower Lake",3116.69862272241,"47"
"1296",157,4,14,111,7,0,4,3,2,6,4,17,0,0,0,0,0,0,0,0,1,0,"Tower Lake",3300.27002050516,"47"
"1297",170,2,12,108,4,0,5,0,3,6,5,14,1,0,0,1,0,0,1,0,3,0,"Tower Lake",3474.16938557991,"47"
"1298",174,2,12,66,11,1,4,4,1,7,1,17,2,0,0,2,0,0,1,0,2,0,"Tower Lake",3635.20931433684,"47"
"1299",172,6,17,91,5,0,8,2,5,15,3,19,3,0,0,0,0,3,1,0,4,1,"Tower Lake",3745.57146330264,"47"
"1300",178,8,18,77,15,3,3,0,4,1,5,15,3,0,0,1,0,0,0,0,4,0,"Tower Lake",3816.83721169809,"47"
"1301",169,1,31,75,3,0,6,0,1,8,2,11,1,0,0,0,0,1,3,0,4,0,"Tower Lake",3884.98768923383,"47"
"1302",181,6,23,69,7,0,1,0,1,2,2,21,2,0,0,0,0,1,0,0,6,0,"Tower Lake",3951.92570153062,"47"
"1303",155,6,24,39,4,0,0,0,0,4,2,13,1,0,0,2,0,0,0,0,3,0,"Tower Lake",4025.07937820952,"47"
"1304",139,0,25,58,5,0,2,0,2,2,0,18,0,0,0,3,0,1,1,0,1,0,"Tower Lake",4158.28019607515,"47"
"1305",187,3,19,18,2,0,4,0,5,13,2,50,2,0,0,0,0,0,0,0,2,0,"Tower Lake",4372.39081482164,"47"
"1306",177,4,17,23,6,0,7,1,0,9,0,15,1,0,0,3,0,0,0,0,2,0,"Tower Lake",4591.10995843367,"47"
"1307",188,13,25,25,13,1,4,4,2,13,2,33,6,0,0,0,0,3,0,0,1,0,"Tower Lake",4721.76821414941,"47"
"1308",191,10,28,29,15,2,8,3,6,8,0,23,6,0,0,1,0,2,0,0,1,0,"Tower Lake",4736.42790636373,"47"
"1309",176,13,29,27,12,1,6,5,4,9,2,32,2,0,0,0,1,3,1,0,0,0,"Tower Lake",4751.08759857804,"47"
"1310",179,8,30,31,8,1,2,4,2,7,3,24,3,0,0,0,0,3,1,1,1,0,"Tower Lake",4765.74729079235,"47"
"1311",203,11,26,19,6,2,2,2,4,12,3,19,1,0,0,0,0,0,0,0,0,0,"Tower Lake",4780.40698300667,"47"
"1312",189,2,37,24,8,0,2,0,4,7,1,26,0,0,0,0,0,1,0,0,2,0,"Tower Lake",4795.06667522098,"47"
"1313",150,7,45,41,14,4,2,2,2,5,0,43,0,0,0,0,0,5,1,1,0,0,"Tower Lake",4809.7263674353,"47"
"1314",168,8,46,37,11,1,5,3,3,19,3,30,1,0,0,0,0,0,0,0,0,1,"Tower Lake",4824.38605964961,"47"
"1315",147,7,56,35,22,2,5,2,9,9,1,32,2,0,0,0,1,2,0,1,0,1,"Tower Lake",4839.04575186393,"47"
"1316",150,21,42,42,19,3,2,2,4,13,0,24,2,0,0,0,0,5,1,0,0,0,"Tower Lake",4853.70544407824,"47"
"1317",148,2,13,27,8,0,6,0,6,12,3,23,1,0,0,3,0,1,0,0,1,0,"Tower Lake",4868.36513629256,"47"
"1318",200,12,51,30,12,0,6,3,3,11,2,25,2,0,0,0,0,0,0,0,0,0,"Tower Lake",4868.36513629256,"47"
"1319",314,27,95,89,32,6,12,6,7,26,2,59,7,0,0,1,1,1,1,0,0,0,"Tower Lake",4913.59038020098,"47"
"1320",364,28,100,83,48,11,12,6,6,19,2,58,6,0,0,0,0,13,0,1,0,2,"Tower Lake",4924.89669117808,"47"
"1321",168,8,20,31,5,0,1,0,1,8,6,27,2,0,0,0,0,0,1,0,3,0,"Tower Lake",4936.20300215519,"47"
"1322",182,15,29,42,22,2,7,1,2,15,2,30,1,0,0,0,1,0,0,2,0,1,"Tower Lake",4947.50931313229,"47"
"1323",158,24,38,40,21,3,5,2,4,14,3,24,1,0,0,1,0,1,0,0,1,0,"Tower Lake",4958.81562410939,"47"
"1324",162,12,28,40,18,4,7,2,8,24,3,34,2,0,0,1,0,1,1,0,0,0,"Tower Lake",4970.1219350865,"47"
"1325",149,9,32,37,22,4,6,0,1,53,1,22,0,0,0,2,1,2,0,0,1,0,"Tower Lake",5019.09690290175,"47"
"1326",185,10,24,31,8,0,3,4,3,58,2,12,1,0,0,0,3,0,0,1,0,0,"Tower Lake",5056.76555973989,"47"
"1327",174,12,18,33,16,3,6,1,1,64,1,24,0,0,0,0,1,1,1,0,0,0,"Tower Lake",5094.43421657804,"47"
"1328",140,13,25,41,24,4,1,2,2,49,2,21,2,0,0,1,0,1,0,0,1,0,"Tower Lake",5132.10287341619,"47"
"1329",150,7,28,27,15,1,2,1,2,76,2,19,1,0,0,0,0,0,0,0,0,0,"Tower Lake",5169.77153025433,"47"
"1330",117,5,29,38,0,0,2,0,3,47,0,14,1,0,0,1,0,0,0,0,0,1,"Tower Lake",5207.44018709248,"47"
"1331",117,5,29,38,0,0,2,0,3,47,0,14,1,0,0,1,0,0,0,0,0,1,"Tower Lake",5207.44018709248,"47"
"1332",140,12,18,38,20,1,2,0,3,92,1,23,3,0,0,0,1,0,0,0,0,2,"Tower Lake",5207.44018709248,"47"
"1333",140,12,18,38,20,1,2,0,3,92,1,23,3,0,0,0,1,0,0,0,0,2,"Tower Lake",5207.44018709248,"47"
"1334",130,16,25,51,6,1,2,2,0,59,3,15,0,0,0,0,1,0,2,0,0,0,"Tower Lake",5245.10884393062,"47"
"1335",140,4,37,38,15,2,4,4,2,59,1,14,2,0,0,0,1,0,0,0,2,1,"Tower Lake",5282.77750076877,"47"
"1336",144,12,29,36,26,1,9,3,4,56,1,13,4,0,0,0,1,0,0,1,0,0,"Tower Lake",5320.44615760691,"47"
"1337",148,6,38,45,29,0,3,4,4,53,0,23,2,0,0,1,1,2,0,0,0,0,"Tower Lake",5374.77819174315,"47"
"1338",158,15,30,36,17,1,3,1,5,75,0,17,4,0,0,0,1,0,1,1,0,0,"Tower Lake",5391.44156904124,"47"
"1339",124,11,29,46,6,1,1,2,4,77,0,13,2,0,0,0,1,1,0,0,0,0,"Tower Lake",5408.10494633932,"47"
"1340",134,6,34,35,16,0,3,3,2,58,1,18,2,1,0,0,1,3,1,0,0,0,"Tower Lake",5424.76832363741,"47"
"1341",127,12,29,39,7,0,2,0,8,70,2,22,3,0,0,0,0,2,0,0,0,0,"Tower Lake",5441.4317009355,"47"
"1342",149,10,25,36,13,0,2,1,0,60,1,20,5,0,0,0,2,0,0,0,0,0,"Tower Lake",5458.09507823359,"47"
"1343",182,6,35,37,13,2,3,2,4,48,2,12,1,0,0,0,0,1,2,0,0,0,"Tower Lake",5458.09507823359,"47"
"1344",162,13,24,27,10,0,6,3,5,53,0,12,2,0,0,0,1,3,0,0,0,1,"Tower Lake",5474.75845553168,"47"
"1345",168,9,40,38,12,1,0,2,5,51,1,10,0,0,0,1,1,0,0,0,0,0,"Tower Lake",5491.42183282977,"47"
"1346",176,8,44,37,10,3,9,0,3,63,0,8,0,0,0,0,2,0,1,0,0,0,"Tower Lake",5508.08521012786,"47"
