"","site.id","lat","long","dataset","site.name","age_bacon","PINUSX","prairie","QUERCUS","BETULA","other_herbs","CYPERACE","ALNUSX","OSTRYCAR","ULMUS","TSUGAX","PICEAX","ACERX","FRAXINUX","POPULUS","CUPRESSA","other_trees","LARIXPSEU","FAGUS","CARYA","TILIA","ABIES","JUGLANSX"
"6482","3455",44.77085,-93.12255,3455,"Kirchner Marsh",6146.04256465642,13,142,129,4,28,10,5,2,11,0,0,1,4,0,0,8,0,0,1,0,0,1
"6483","3455",44.77085,-93.12255,3455,"Kirchner Marsh",6172.90081800667,10,115,167,9,28,11,4,1,7,0,0,2,1,0,0,6,0,0,0,0,0,0
"6484","3455",44.77085,-93.12255,3455,"Kirchner Marsh",6199.75907135692,17,156,125,4,29,19,2,2,10,0,0,2,4,0,0,6,0,0,0,1,0,0
"6485","3455",44.77085,-93.12255,3455,"Kirchner Marsh",6226.6260138118,10,109,123,7,22,17,5,2,14,0,0,2,3,0,0,7,0,0,0,0,0,1
"6486","3455",44.77085,-93.12255,3455,"Kirchner Marsh",6253.50164537133,24,127,106,3,24,21,1,4,7,0,0,4,1,0,0,15,0,0,0,0,0,1
"6487","3455",44.77085,-93.12255,3455,"Kirchner Marsh",6280.37727693085,21,141,62,11,29,16,3,2,12,0,1,4,4,0,0,26,1,0,0,1,0,1
"6488","3455",44.77085,-93.12255,3455,"Kirchner Marsh",6307.25290849038,32,185,67,9,53,31,7,1,6,0,1,2,2,0,0,15,0,0,0,0,0,0
"6489","3455",44.77085,-93.12255,3455,"Kirchner Marsh",6334.1285400499,29,160,48,3,45,65,1,1,10,0,0,2,0,0,0,7,0,0,0,0,0,0
"6490","3455",44.77085,-93.12255,3455,"Kirchner Marsh",6360.83103421815,50,236,68,1,97,73,1,2,5,0,1,1,1,0,0,14,0,0,1,0,0,0
"6491","3455",44.77085,-93.12255,3455,"Kirchner Marsh",6387.36039099511,41,246,57,4,47,15,4,5,4,0,0,2,2,0,0,10,0,0,0,0,0,1
"6492","3455",44.77085,-93.12255,3455,"Kirchner Marsh",6413.88974777207,43,199,80,5,64,20,6,2,8,0,1,4,2,0,0,6,0,0,0,0,0,0
"6493","3455",44.77085,-93.12255,3455,"Kirchner Marsh",6440.41910454903,36,191,89,6,40,9,3,0,5,0,0,2,0,0,0,5,0,0,0,0,0,0
"6494","3455",44.77085,-93.12255,3455,"Kirchner Marsh",6466.948461326,27,183,71,1,52,9,4,1,7,0,1,1,1,0,0,5,0,0,0,0,0,0
"6495","3455",44.77085,-93.12255,3455,"Kirchner Marsh",6493.56058919697,21,112,147,19,39,7,15,7,10,0,1,1,0,0,0,7,0,0,3,0,0,1
"6496","3455",44.77085,-93.12255,3455,"Kirchner Marsh",6520.25548816194,35,161,77,4,35,22,5,1,5,0,1,3,1,0,0,6,0,0,1,1,0,1
"6497","3455",44.77085,-93.12255,3455,"Kirchner Marsh",6546.95038712691,17,205,75,5,35,9,7,2,6,0,1,1,1,0,0,14,0,0,2,2,0,1
"6498","3455",44.77085,-93.12255,3455,"Kirchner Marsh",6573.64528609189,24,170,82,7,38,7,8,1,12,0,0,2,1,0,0,2,0,0,1,0,0,0
"2107","1524",45.666667,-87.455,1524,"Kitchner Lake",701.42603556057,59,15,48,97,5,2,9,20,24,20,10,9,9,2,17,1,2,7,4,2,2,1
"2108","1524",45.666667,-87.455,1524,"Kitchner Lake",1343.38146284172,63,12,32,79,17,3,4,15,12,37,6,21,3,1,12,0,2,30,2,4,5,1
"2109","1524",45.666667,-87.455,1524,"Kitchner Lake",1994.91234312191,92,7,14,91,9,0,4,15,10,66,9,16,5,0,8,1,1,18,1,2,2,0
"2110","1524",45.666667,-87.455,1524,"Kitchner Lake",18.7253269103295,42,81,22,47,13,1,16,3,13,7,8,9,9,1,27,2,0,3,0,0,5,0
"2111","1524",45.666667,-87.455,1524,"Kitchner Lake",2636.68678721641,74,3,25,144,2,0,1,7,17,51,2,19,4,0,21,0,1,19,1,7,0,0
"2112","1524",45.666667,-87.455,1524,"Kitchner Lake",2959.02589480783,107,7,41,94,3,0,1,14,9,43,5,8,2,1,31,1,3,7,1,6,2,7
"2113","1524",45.666667,-87.455,1524,"Kitchner Lake",3278.23588418068,127,13,34,105,5,1,1,18,7,27,1,35,4,3,21,1,5,8,0,6,4,3
"2114","1524",45.666667,-87.455,1524,"Kitchner Lake",3600.07258978882,156,8,52,31,9,3,6,11,10,16,0,9,11,0,24,2,2,6,2,6,1,5
"2115","1524",45.666667,-87.455,1524,"Kitchner Lake",44.2198491895586,87,73,25,82,12,5,4,6,14,48,12,5,6,1,16,5,5,5,2,0,1,0
"2116","1524",45.666667,-87.455,1524,"Kitchner Lake",3922.79184516216,201,15,54,63,8,0,7,15,11,10,4,27,7,1,18,4,2,4,3,3,2,3
"2117","1524",45.666667,-87.455,1524,"Kitchner Lake",4296.48281651512,187,8,30,36,8,1,10,11,11,9,6,21,10,0,29,1,4,1,0,0,1,3
"2118","1524",45.666667,-87.455,1524,"Kitchner Lake",4690.80533349605,164,5,41,42,6,0,2,11,9,20,5,12,10,2,26,0,2,0,1,1,1,5
"2119","1524",45.666667,-87.455,1524,"Kitchner Lake",56.9700234071745,54,25,19,60,9,3,3,3,8,37,8,10,1,0,7,0,4,1,2,0,1,0
"2120","1524",45.666667,-87.455,1524,"Kitchner Lake",5086.11454679969,164,7,33,50,4,3,8,19,7,7,2,11,8,0,12,1,9,1,0,1,2,0
"2121","1524",45.666667,-87.455,1524,"Kitchner Lake",5473.53713469867,260,11,28,18,10,2,3,11,7,5,1,5,3,0,2,1,2,2,0,1,2,0
"2122","1524",45.666667,-87.455,1524,"Kitchner Lake",69.7201976247903,69,52,21,91,3,2,17,4,7,42,12,6,4,1,21,6,6,4,1,0,3,1
"2123","1524",45.666667,-87.455,1524,"Kitchner Lake",6257.19173253229,378,14,31,17,15,3,5,14,8,2,1,13,2,1,4,2,3,1,0,1,1,0
"2124","1524",45.666667,-87.455,1524,"Kitchner Lake",6636.34628915015,288,11,26,17,4,0,4,13,16,1,2,13,6,0,16,0,0,1,1,0,2,2
"2125","1524",45.666667,-87.455,1524,"Kitchner Lake",72.272511017221,60,33,24,119,4,0,1,9,5,39,9,9,3,6,24,1,2,4,0,3,3,0
"2126","1524",45.666667,-87.455,1524,"Kitchner Lake",7014.87448918031,250,5,41,42,2,0,1,19,10,1,3,8,6,0,7,1,6,0,0,0,1,1
"2127","1524",45.666667,-87.455,1524,"Kitchner Lake",7406.56748757876,412,18,18,38,12,1,8,11,13,0,7,5,5,0,10,1,4,0,1,0,2,0
"2129","1524",45.666667,-87.455,1524,"Kitchner Lake",72.2753592033555,77,14,30,110,6,1,4,9,8,54,7,11,2,1,24,0,8,2,1,2,3,0
"2130","1524",45.666667,-87.455,1524,"Kitchner Lake",7788.46986892531,472,12,18,18,10,2,1,9,13,0,1,2,2,0,0,0,0,0,3,0,0,0
"2131","1524",45.666667,-87.455,1524,"Kitchner Lake",8176.9543075849,461,12,15,23,13,3,1,4,13,1,6,2,5,0,0,3,2,0,2,0,2,0
"2132","1524",45.666667,-87.455,1524,"Kitchner Lake",8565.67461651428,239,14,32,38,7,0,2,7,14,0,23,1,7,0,10,5,0,0,1,1,4,1
"2133","1524",45.666667,-87.455,1524,"Kitchner Lake",9329.23280058804,292,19,42,29,16,1,0,14,17,0,31,2,6,1,2,1,7,0,4,0,5,0
"2134","1524",45.666667,-87.455,1524,"Kitchner Lake",72.2810555756244,71,7,31,92,5,2,4,5,6,25,13,5,2,2,43,3,4,7,0,1,3,0
"2135","1524",45.666667,-87.455,1524,"Kitchner Lake",10103.8536490317,90,7,17,3,18,1,0,1,11,0,196,0,3,0,3,0,5,0,0,0,0,0
"2136","1524",45.666667,-87.455,1524,"Kitchner Lake",10880.6583212988,15,33,3,6,6,6,1,2,0,0,66,0,1,1,0,0,0,0,0,0,1,0
"2137","1524",45.666667,-87.455,1524,"Kitchner Lake",11657.462993566,2,12,10,2,13,1,0,11,1,0,44,0,10,3,0,4,0,0,0,0,0,0
"2711","1548",46.714235,-92.587195,1548,"Kotiranta Lake",557.374026631438,461,48,24,258,0,10,43,5,0,0,82,8,10,0,0,0,35,0,0,0,16,0
"2712","1548",46.714235,-92.587195,1548,"Kotiranta Lake",910.821558134089,382,69,37,379,0,0,28,17,14,0,93,7,11,0,0,0,35,0,0,0,28,0
"2713","1548",46.714235,-92.587195,1548,"Kotiranta Lake",1261.63654002736,412,44,49,254,0,15,49,18,12,0,64,8,10,0,0,0,41,0,0,0,24,0
"2714","1548",46.714235,-92.587195,1548,"Kotiranta Lake",1621.47070071837,484,29,41,193,0,20,53,17,12,0,62,10,24,0,0,0,45,0,0,0,24,0
"2715","1548",46.714235,-92.587195,1548,"Kotiranta Lake",1980.74772192099,630,55,40,100,0,0,20,0,0,0,50,15,10,0,0,0,32,0,0,0,30,0
"2716","1548",46.714235,-92.587195,1548,"Kotiranta Lake",2335.44012135128,633,36,34,153,3,0,28,10,0,0,43,5,0,0,0,0,17,0,0,0,38,0
"2717","1548",46.714235,-92.587195,1548,"Kotiranta Lake",2694.82825337582,672,22,21,144,0,0,15,17,0,0,49,5,10,0,0,0,16,0,0,0,29,0
"2718","1548",46.714235,-92.587195,1548,"Kotiranta Lake",3040.82150843892,711,23,20,133,9,0,24,5,0,0,30,8,9,0,0,0,8,0,0,0,20,0
"2719","1548",46.714235,-92.587195,1548,"Kotiranta Lake",3391.47560249458,692,35,40,120,8,0,34,11,0,0,19,5,10,0,0,0,11,0,0,0,15,0
"2720","1548",46.714235,-92.587195,1548,"Kotiranta Lake",3753.2031563453,670,40,41,135,17,0,34,8,0,0,29,8,0,0,0,0,11,0,0,0,17,0
"2721","1548",46.714235,-92.587195,1548,"Kotiranta Lake",4113.79965896303,694,35,34,122,3,0,20,10,0,0,34,5,0,0,0,0,20,0,0,0,23,0
"2722","1548",46.714235,-92.587195,1548,"Kotiranta Lake",4479.63955754854,683,46,32,113,0,0,28,18,10,0,24,8,0,0,0,0,24,0,0,0,15,0
"2723","1548",46.714235,-92.587195,1548,"Kotiranta Lake",4839.6348841432,584,65,46,170,0,0,42,10,14,0,24,12,17,0,0,0,21,0,0,0,0,0
"2724","1548",46.714235,-92.587195,1548,"Kotiranta Lake",5199.49891057089,410,74,56,261,11,5,56,17,9,0,28,14,19,0,0,0,19,0,0,0,21,0
"2725","1548",46.714235,-92.587195,1548,"Kotiranta Lake",5555.32434801907,470,70,65,240,0,0,58,16,10,0,14,8,19,0,0,0,11,0,0,0,19,0
"2726","1548",46.714235,-92.587195,1548,"Kotiranta Lake",5904.05553188121,501,85,93,204,0,0,42,13,12,0,10,10,18,0,0,0,12,0,0,0,0,0
"2727","1548",46.714235,-92.587195,1548,"Kotiranta Lake",6265.21215212885,504,85,56,233,0,14,81,10,12,0,0,0,0,0,0,0,15,0,0,0,0,0
"2728","1548",46.714235,-92.587195,1548,"Kotiranta Lake",6627.69269547701,469,82,98,191,3,15,81,16,15,0,0,0,0,0,0,0,18,0,0,0,12,0
"2729","1548",46.714235,-92.587195,1548,"Kotiranta Lake",6987.60811815455,543,94,68,165,0,8,78,15,15,0,5,0,0,0,0,0,0,0,0,0,9,0
"2730","1548",46.714235,-92.587195,1548,"Kotiranta Lake",7347.83459328113,498,73,77,155,0,10,95,0,29,0,20,0,18,0,0,0,0,0,0,0,25,0
"2731","1548",46.714235,-92.587195,1548,"Kotiranta Lake",7712.69086567377,503,113,95,130,0,18,56,14,28,0,5,0,11,0,0,0,0,0,0,0,10,0
"2732","1548",46.714235,-92.587195,1548,"Kotiranta Lake",8064.51922762969,581,116,78,119,0,5,52,15,11,0,0,0,10,0,0,0,13,0,0,0,0,0
"2733","1548",46.714235,-92.587195,1548,"Kotiranta Lake",8428.49458884915,670,68,58,112,0,12,29,19,10,0,0,0,12,0,0,0,10,0,0,0,0,0
"2734","1548",46.714235,-92.587195,1548,"Kotiranta Lake",8793.42269600561,633,84,62,77,3,12,43,27,17,0,0,15,19,0,0,0,8,0,0,0,0,0
"2735","1548",46.714235,-92.587195,1548,"Kotiranta Lake",9142.37740387691,658,124,57,69,0,0,19,33,21,0,0,0,11,0,0,0,8,0,0,0,0,0
"2736","1548",46.714235,-92.587195,1548,"Kotiranta Lake",9497.84257480778,648,144,76,52,0,11,19,19,17,0,5,0,11,0,0,0,8,0,0,0,0,0
"2737","1548",46.714235,-92.587195,1548,"Kotiranta Lake",9861.03284130097,577,125,86,70,0,7,47,14,19,0,9,0,11,0,0,0,9,0,0,0,19,0
"2738","1548",46.714235,-92.587195,1548,"Kotiranta Lake",10130.8804553706,539,191,40,53,0,22,48,9,25,0,4,0,7,0,0,11,18,0,0,0,0,0
"2739","1548",46.714235,-92.587195,1548,"Kotiranta Lake",10493.3467759373,583,132,47,56,0,9,80,11,28,0,5,0,17,0,0,14,17,0,0,0,0,0
"2740","1548",46.714235,-92.587195,1548,"Kotiranta Lake",10845.4541952321,518,149,44,66,0,9,57,13,31,0,13,0,19,0,0,11,35,0,0,0,0,0
"2741","1548",46.714235,-92.587195,1548,"Kotiranta Lake",11199.553718663,527,92,50,191,0,11,27,9,20,0,6,0,16,0,0,2,32,0,0,0,0,0
"2742","1548",46.714235,-92.587195,1548,"Kotiranta Lake",11550.6488556309,540,85,18,121,0,0,41,0,45,0,58,0,14,0,0,11,31,0,0,0,0,0
"2743","1548",46.714235,-92.587195,1548,"Kotiranta Lake",11727.8857088322,572,45,47,140,0,0,38,9,26,0,70,0,0,0,0,0,23,0,11,0,0,0
"2744","1548",46.714235,-92.587195,1548,"Kotiranta Lake",11907.6315601912,523,46,34,135,0,0,92,44,39,0,53,0,0,0,0,8,24,0,2,0,0,0
"2745","1548",46.714235,-92.587195,1548,"Kotiranta Lake",12087.7310043163,494,33,24,124,0,0,57,5,38,0,161,0,9,0,0,8,24,0,14,0,9,0
"2746","1548",46.714235,-92.587195,1548,"Kotiranta Lake",12268.1840412074,528,39,33,94,0,8,11,8,28,0,194,0,8,0,0,0,37,0,11,0,11,0
"2747","1548",46.714235,-92.587195,1548,"Kotiranta Lake",12449.0696079533,569,56,52,75,0,0,14,14,43,0,134,0,10,0,0,0,43,0,0,0,0,0
"2748","1548",46.714235,-92.587195,1548,"Kotiranta Lake",12630.387704554,554,57,39,57,0,0,0,10,26,0,190,14,14,0,0,0,39,0,0,0,0,0
"2749","1548",46.714235,-92.587195,1548,"Kotiranta Lake",12811.0901654855,571,20,39,44,0,0,0,0,39,0,242,0,19,0,0,0,39,0,0,0,7,0
"2750","1548",46.714235,-92.587195,1548,"Kotiranta Lake",12991.1769907478,331,76,43,26,13,8,6,0,56,0,359,8,19,0,0,0,34,0,8,0,5,0
"2751","1548",46.714235,-92.587195,1548,"Kotiranta Lake",13258.2492826402,384,49,27,41,0,33,0,8,22,0,358,10,10,4,0,8,38,0,8,0,0,0
"6499","3468",45.42363,-93.690695,3468,"Lake Ann",4211.45393642023,75,120,94,25,36,28,15,5,6,0,2,1,8,1,5,7,0,0,2,2,1,3
"6500","3468",45.42363,-93.690695,3468,"Lake Ann",4388.26368703171,78,162,109,22,98,38,24,7,12,0,3,3,7,2,1,6,0,0,2,2,0,0
"6501","3468",45.42363,-93.690695,3468,"Lake Ann",4566.25793966989,77,150,113,24,27,22,12,2,7,0,3,3,3,1,0,2,0,0,0,4,2,2
"6502","3468",45.42363,-93.690695,3468,"Lake Ann",4746.46182873114,69,133,114,32,28,29,11,5,11,0,3,1,1,1,0,4,1,0,2,2,0,1
"6503","3468",45.42363,-93.690695,3468,"Lake Ann",4924.8871499684,75,207,109,22,36,19,13,18,18,0,6,1,9,0,0,1,0,0,1,3,0,1
"6504","3468",45.42363,-93.690695,3468,"Lake Ann",5107.95029950583,90,266,128,18,77,24,18,15,18,1,2,3,7,2,1,3,0,1,1,6,1,3
"6505","3468",45.42363,-93.690695,3468,"Lake Ann",5405.72148626375,69,184,110,24,115,25,9,9,5,0,2,2,1,1,1,4,0,0,1,2,0,2
"6506","3468",45.42363,-93.690695,3468,"Lake Ann",5504.8790916209,79,325,124,17,206,27,10,3,14,0,0,1,1,2,0,7,0,0,2,2,0,2
"6507","3468",45.42363,-93.690695,3468,"Lake Ann",5604.03669697805,63,234,84,14,243,33,14,13,9,0,0,2,5,1,0,1,0,0,3,4,0,1
"6508","3468",45.42363,-93.690695,3468,"Lake Ann",5704.41800210573,58,191,54,5,230,24,5,9,8,0,1,0,6,0,0,7,1,0,1,2,0,1
"6509","3468",45.42363,-93.690695,3468,"Lake Ann",5804.79930723341,77,164,80,10,197,24,9,8,7,0,3,2,3,1,0,2,0,0,0,7,0,0
"6510","3468",45.42363,-93.690695,3468,"Lake Ann",5908.46070341168,60,132,71,3,67,15,5,7,7,0,4,1,3,1,0,5,1,0,0,1,0,1
"6511","3468",45.42363,-93.690695,3468,"Lake Ann",6113.05531981825,85,219,71,10,35,17,11,4,5,1,4,0,1,0,0,6,1,0,0,3,3,1
"6512","3468",45.42363,-93.690695,3468,"Lake Ann",6213.98854004657,51,223,65,6,134,19,7,9,9,0,0,3,1,2,0,2,0,0,4,1,0,0
"6513","3468",45.42363,-93.690695,3468,"Lake Ann",6316.65981402527,63,257,70,14,123,21,9,9,13,0,2,3,7,1,1,2,0,0,2,1,0,1
"6514","3468",45.42363,-93.690695,3468,"Lake Ann",6419.33108800398,70,265,50,19,147,30,9,19,17,0,1,2,8,2,0,4,0,0,1,2,1,0
"6515","3468",45.42363,-93.690695,3468,"Lake Ann",6521.88624238341,79,279,88,16,134,28,11,7,13,0,2,2,8,1,0,3,1,0,2,4,0,1
"6516","3468",45.42363,-93.690695,3468,"Lake Ann",6624.44139676284,42,241,60,8,123,31,12,9,10,0,0,1,4,0,1,4,0,0,1,3,0,0
"6517","3468",45.42363,-93.690695,3468,"Lake Ann",6726.12665270489,63,351,71,10,84,28,12,3,16,0,1,2,1,2,0,5,0,0,0,6,0,1
"6518","3468",45.42363,-93.690695,3468,"Lake Ann",6827.81190864694,58,230,79,7,95,24,9,12,7,0,1,2,6,2,1,7,0,0,0,8,0,1
"6519","3468",45.42363,-93.690695,3468,"Lake Ann",6929.69468919209,66,202,76,7,28,19,4,11,18,0,1,1,3,0,0,1,0,0,0,6,0,1
"6520","3468",45.42363,-93.690695,3468,"Lake Ann",7031.57746973723,50,206,51,4,53,28,7,15,11,0,0,1,4,0,1,3,0,0,0,3,0,2
"6521","3468",45.42363,-93.690695,3468,"Lake Ann",7130.62346384576,65,248,69,9,86,30,6,17,18,0,1,2,3,1,2,1,0,0,0,5,0,2
"6522","3468",45.42363,-93.690695,3468,"Lake Ann",7330.21614493789,66,160,106,6,13,10,4,8,8,0,2,1,3,0,0,3,0,0,2,18,0,0
"6523","3468",45.42363,-93.690695,3468,"Lake Ann",7533.2718210854,97,261,93,14,21,11,7,14,25,0,0,7,1,0,1,5,1,0,4,6,0,1
"6524","3468",45.42363,-93.690695,3468,"Lake Ann",7736.19134565307,51,219,88,7,77,13,4,19,16,0,2,2,4,0,0,2,0,0,1,6,0,0
"6525","3468",45.42363,-93.690695,3468,"Lake Ann",7940.35333622427,33,247,101,4,55,18,5,10,21,0,1,4,9,1,0,3,0,0,2,2,0,1
"6526","3468",45.42363,-93.690695,3468,"Lake Ann",8146.3191627831,36,208,77,3,69,13,0,7,17,0,1,0,7,1,0,2,0,0,2,0,1,1
"6527","3468",45.42363,-93.690695,3468,"Lake Ann",8347.14653257067,34,410,138,4,109,34,5,13,11,0,1,1,7,1,1,8,0,0,2,0,0,0
"6528","3468",45.42363,-93.690695,3468,"Lake Ann",8544.37252936303,63,235,78,3,40,25,10,3,21,0,2,3,3,1,1,4,0,0,0,0,0,0
"6529","3468",45.42363,-93.690695,3468,"Lake Ann",8741.59852615538,96,423,50,14,130,55,3,15,26,0,9,0,7,3,0,3,0,0,4,0,1,0
"6530","3468",45.42363,-93.690695,3468,"Lake Ann",8938.82452294773,124,271,57,10,95,38,8,16,19,0,2,2,16,1,0,5,1,0,4,1,0,4
"6531","3468",45.42363,-93.690695,3468,"Lake Ann",9136.05051974009,154,217,63,5,64,34,7,13,28,0,2,2,2,0,2,9,0,0,6,0,1,3
"6532","3468",45.42363,-93.690695,3468,"Lake Ann",9333.27651653244,197,260,69,9,41,43,7,11,40,0,4,3,1,0,0,4,1,0,2,2,1,0
"6533","3468",45.42363,-93.690695,3468,"Lake Ann",9530.50251332479,169,163,49,10,21,14,6,12,37,0,2,2,5,0,0,3,0,0,1,0,0,3
"6534","3468",45.42363,-93.690695,3468,"Lake Ann",9727.72851011715,264,92,18,3,22,17,7,14,40,0,2,2,2,1,2,7,0,0,3,1,1,1
"6535","3468",45.42363,-93.690695,3468,"Lake Ann",10171.4870028999,383,39,29,54,21,9,11,10,43,0,16,3,29,0,0,4,3,0,0,0,9,1
"6536","3468",45.42363,-93.690695,3468,"Lake Ann",10220.793502098,374,34,34,69,15,18,7,3,36,0,31,0,21,0,0,0,1,0,2,0,4,0
"6537","3468",45.42363,-93.690695,3468,"Lake Ann",10319.4065004942,7,56,11,73,27,21,45,7,16,0,181,0,11,3,0,7,8,0,1,0,5,0
"6538","3468",45.42363,-93.690695,3468,"Lake Ann",10447.6033984092,6,63,16,42,41,29,12,10,8,0,206,0,7,4,0,1,7,0,0,0,2,0
"6539","3468",45.42363,-93.690695,3468,"Lake Ann",10516.6324972866,3,69,15,33,24,31,10,2,10,0,250,0,3,2,1,3,3,0,0,0,3,0
"6540","3468",45.42363,-93.690695,3468,"Lake Ann",10664.5519948808,4,136,18,7,37,30,0,6,2,0,231,0,33,1,4,6,2,0,1,0,4,0
"6541","3468",45.42363,-93.690695,3468,"Lake Ann",915.523010006354,149,66,96,36,47,17,13,2,8,1,3,0,1,1,0,0,1,0,4,1,0,0
"6542","3468",45.42363,-93.690695,3468,"Lake Ann",1231.70966300598,100,99,133,24,96,21,21,4,6,1,5,1,0,2,0,1,4,0,0,2,3,0
"6543","3468",45.42363,-93.690695,3468,"Lake Ann",1953.00424422658,117,84,139,20,190,25,12,2,6,0,3,2,3,1,0,4,2,1,1,1,0,0
"6544","3468",45.42363,-93.690695,3468,"Lake Ann",2940.55143405167,97,124,101,26,89,20,23,7,10,0,4,3,5,1,1,1,0,0,2,3,0,2
"6545","3468",45.42363,-93.690695,3468,"Lake Ann",3848.60755952737,102,121,108,22,74,47,13,15,16,0,3,3,6,1,1,1,0,0,5,7,0,3
"3634","1639",47.286,-93.600465,1639,"Little Bass Lake",56.0776536802121,192,23,11,75,10,4,15,5,0,0,11,1,1,2,5,5,3,0,0,1,3,0
"3635","1639",47.286,-93.600465,1639,"Little Bass Lake",299.620578376344,163,28,16,77,6,5,18,4,2,1,8,3,5,4,5,4,1,0,0,2,2,0
"3636","1639",47.286,-93.600465,1639,"Little Bass Lake",799.76535208703,133,33,18,87,13,7,23,13,8,0,5,0,2,4,0,0,4,0,0,0,7,3
"3637","1639",47.286,-93.600465,1639,"Little Bass Lake",1050.21282143118,151,15,11,65,7,3,8,5,2,0,6,4,2,5,7,3,2,0,0,1,9,0
"3638","1639",47.286,-93.600465,1639,"Little Bass Lake",1175.43655610325,138,19,16,64,8,1,13,6,3,0,6,3,0,12,12,2,1,0,0,1,3,0
"3639","1639",47.286,-93.600465,1639,"Little Bass Lake",1302.3433219328,89,16,110,58,2,9,19,1,0,0,7,1,3,6,5,1,3,0,0,1,1,0
"3640","1639",47.286,-93.600465,1639,"Little Bass Lake",1429.25008776235,177,28,16,54,9,8,22,7,4,0,0,4,6,10,1,8,3,0,0,0,5,1
"3641","1639",47.286,-93.600465,1639,"Little Bass Lake",1556.1568535919,145,12,6,53,9,13,13,5,2,0,3,2,4,10,1,4,4,0,0,1,0,0
"3642","1639",47.286,-93.600465,1639,"Little Bass Lake",1795.84869275002,185,15,19,56,13,5,21,7,5,0,11,3,5,3,12,2,1,0,0,0,3,1
"3643","1639",47.286,-93.600465,1639,"Little Bass Lake",2175.88604135926,184,44,16,64,14,21,22,2,1,0,9,2,2,11,13,2,6,0,0,0,0,0
"3644","1639",47.286,-93.600465,1639,"Little Bass Lake",2546.258573389,235,22,21,77,7,11,18,6,5,0,6,5,4,4,3,2,2,0,2,0,1,0
"3645","1639",47.286,-93.600465,1639,"Little Bass Lake",2914.10195238273,170,24,13,67,15,10,18,7,7,0,6,4,4,4,6,2,2,0,0,1,3,0
"3646","1639",47.286,-93.600465,1639,"Little Bass Lake",3284.11528418242,161,28,28,51,7,0,27,0,6,0,6,0,6,3,6,3,8,0,0,0,0,0
"3647","1639",47.286,-93.600465,1639,"Little Bass Lake",3647.09361512153,169,20,8,36,7,3,4,5,4,0,12,3,2,8,3,2,0,0,0,0,1,0
"3648","1639",47.286,-93.600465,1639,"Little Bass Lake",4009.78012691863,188,31,19,42,4,12,18,5,2,0,7,2,4,4,0,5,3,0,0,0,3,0
"3649","1639",47.286,-93.600465,1639,"Little Bass Lake",4370.24892689916,158,33,34,38,5,15,24,7,0,0,8,0,7,8,2,9,1,0,0,0,0,1
"3650","1639",47.286,-93.600465,1639,"Little Bass Lake",4829.97820685947,233,80,42,78,25,16,54,6,10,0,12,2,14,9,4,9,3,0,0,0,2,1
"3651","1639",47.286,-93.600465,1639,"Little Bass Lake",5362.13094550278,122,56,28,21,8,12,29,4,2,0,2,0,5,5,3,3,0,0,0,0,0,0
"3652","1639",47.286,-93.600465,1639,"Little Bass Lake",5626.71156979133,169,57,26,35,16,54,44,4,2,0,2,1,9,10,2,11,1,0,0,1,0,2
"3653","1639",47.286,-93.600465,1639,"Little Bass Lake",5883.27572920513,244,49,47,31,18,12,28,15,15,0,7,0,19,5,0,5,4,0,0,2,2,0
"3654","1639",47.286,-93.600465,1639,"Little Bass Lake",6166.93324853479,200,52,56,25,6,5,14,18,6,0,2,0,8,1,1,1,0,0,0,1,1,0
"3655","1639",47.286,-93.600465,1639,"Little Bass Lake",6479.73333731037,72,56,48,21,10,8,22,18,13,0,1,1,11,4,2,4,0,0,0,1,0,1
"3656","1639",47.286,-93.600465,1639,"Little Bass Lake",6821.67599553187,193,49,52,26,17,9,22,16,7,0,2,0,12,6,3,3,2,0,0,1,2,0
"3657","1639",47.286,-93.600465,1639,"Little Bass Lake",7123.35042857557,71,85,63,32,12,15,18,23,11,0,5,3,12,3,4,9,0,1,0,2,0,2
"3658","1639",47.286,-93.600465,1639,"Little Bass Lake",7368.18980544063,42,59,60,35,12,23,11,24,9,0,0,1,14,2,1,9,0,0,0,0,0,0
"3659","1639",47.286,-93.600465,1639,"Little Bass Lake",7744.19844681351,55,91,107,30,36,41,13,14,6,0,0,0,10,16,7,7,0,0,0,0,0,1
"3660","1639",47.286,-93.600465,1639,"Little Bass Lake",8049.70448784876,80,89,102,22,29,15,10,6,13,0,2,0,14,15,6,7,0,0,1,1,0,0
"3661","1639",47.286,-93.600465,1639,"Little Bass Lake",8360.04153650224,76,109,54,17,14,18,15,4,8,0,7,1,6,12,3,7,0,0,0,0,0,0
"3662","1639",47.286,-93.600465,1639,"Little Bass Lake",8675.20959277392,95,116,30,23,32,18,15,5,2,0,2,1,9,9,3,12,0,0,0,0,0,0
"3663","1639",47.286,-93.600465,1639,"Little Bass Lake",8993.37643044833,160,114,22,16,32,26,22,5,8,0,3,1,7,21,6,12,0,0,0,0,1,1
"3664","1639",47.286,-93.600465,1639,"Little Bass Lake",9590.88081748249,167,63,19,18,26,23,22,4,3,0,1,1,12,2,2,16,1,0,0,0,0,0
"3665","1639",47.286,-93.600465,1639,"Little Bass Lake",10176.8959444984,175,67,12,56,33,15,35,6,11,0,7,2,12,2,1,15,2,0,0,0,1,0
"3666","1639",47.286,-93.600465,1639,"Little Bass Lake",10734.7453771804,197,46,14,30,30,52,30,7,8,0,6,1,1,0,3,9,4,0,0,0,1,0
