"","X","dataset","lat","long","in.calib.sample","biomass","PINUSX","prairie","QUERCUS","BETULA","other_herbs","CYPERACE","ALNUSX","OSTRYCAR","ULMUS","TSUGAX","PICEAX","ACERX","FRAXINUX","POPULUS","CUPRESSA","other_trees","LARIXPSEU","FAGUS","CARYA","TILIA","ABIES","JUGLANSX"
"42",42,"1524",45.666667,-87.455,1,64.1288993157802,76,163,173,18,16,24,5,21,15,0,4,3,3,0,2,4,0,0,5,2,0,2
"43",43,"15242",41.6355,-87.0945,1,0.0530477698937679,30,79,7,0,39,37,1,0,1,0,1,0,2,1,4,5,0,0,0,0,0,1
"44",44,"15268",41.603005,-87.285365,1,22.3655358210996,23,137,166,6,19,19,7,41,22,2,0,5,6,1,1,3,1,0,5,3,0,2
"45",45,"15274",45.428085,-93.981475,0,127.083052979155,154,7,21,13,1,1,11,4,13,33,0,15,0,0,0,2,1,28,2,1,0,0
"46",46,"15302",43.800155,-89.59428,1,38.3763392922526,38,47,221,18,5,16,8,6,11,0,2,2,1,4,2,1,1,0,2,1,0,3
"47",47,"15309",46.34668,-84.857625,1,0.117511000034012,65,213.5,119,27,104,59,13,16,26,2,4,2,9,6,10,18,1,0,3,2,0,3
"48",48,"15316",46.205,-85.0215,1,14.3651007509307,39,74,184,30,28,25,5,18,8,0,3,2,6,4,2,4,0,0,2,1,1,0
"49",49,"15487",43.35538,-85.3568,1,14.5886499351896,36,92,173,28,14,6,9,11,11,2,2,1,5,4,2,4,0,0,4,3,0,4
"50",50,"15511",42.861,-85.2115,1,14.5886499351896,83,91,148,25,25,41,6,9,13,0,0,1,4,0,0,1,0,0,2,1,0,2
"51",51,"1552",46.353333,-92.870278,0,14.5886499351896,53,42,221,11,21,64,2,0,2,0,0,0,0,0,0,8,0,0,2,0,0,1
"52",52,"15660",46.520515,-86.35387,0,21.5591186945361,72,142,247,13,310,41,7,4,5,1,2.5,3,4,1,3,4,1,0,1,0,1,1
"53",53,"1581",45.066667,-84.783333,1,23.642672532856,36,66,156,25,12,7,14,20,15,0,2,4,12,0,0,9,0,0,3,1,1,0
"54",54,"1584",45.42363,-93.690695,0,0.0245389776815463,51,120,89,7,20,25,5,12,12,1,4,4,3,1,2,10,0,0,3,2,0,1
"55",55,"1588",44.79985,-93.15975,1,89.3991737076861,26,131,182,14,40,17,10,38,47,1,0,1,8,7,3,6,1,0,2,11,0,2
"56",56,"1629",45.749444,-93.364167,1,25.362939756938,89,65,142,22,43,17,10,18,21,3,2,2,1,1,2,0,0,1,4,5,1,0
"57",57,"1633",45.04816,-92.823905,1,65.8018692565855,43,146,76,11,24,31,7,8,9,0,2,0,0,0,0,6,0,0,2,1,0,0
"58",58,"1639",47.286,-93.600465,0,30.9339972573508,29.5,214,207,28,53,28,5,47,41,0,2.5,4,10,10,10,9,0,0,20,18,0,9
"59",59,"1643",45.283333,-91.483333,1,70.5872292834729,45,44,110,13,54,7,3,31,14,0,3,26,5,1,0,5,1,0,6,6,0,2
"60",60,"1665",46.719435,-87.97207,1,3.90034010723592,23.5,114,92,10,47,27,10,19,12,1,1,1,5,2,4,2,0,0,5,2,0,2
"61",61,"1708",47.173975,-94.943965,1,120.237909464615,34,208,228,30,84,65,8,88,33,0,1.5,35.5,9,10,10,17,2,0,4,11,0,1
"62",62,"1720",47.17087,-95.70266,1,112.642620020532,116,3,5,11,19,0,6,0,4,46,7,2,1,0,0,0,1,4,2,2,2,0
"63",63,"1725",46.427222,-84.958333,0,120.237909464615,27,90,116,5,44,266,3,8,12,0,0,24,6,6,3,6,18,0,1,7,0,0
"64",64,"1735",43.1,-89.416667,0,120.237909464615,9,147,120,11,21,14,3,69,30,0,0,15,8,4,1,3,8,0,3,9,0,1
"65",65,"17404",46.144685,-86.48299,1,13.4440690928979,60,53,120,40,33,14,12,9,3,3,2,3,4,1,2,5,0,0,2,0,0,1
"66",66,"17406",46.61506,-88.86036,1,216.676383120715,121,7,20,39,3,0,1,0,13,63,2,23,2,0,0,0,0,24,1,3,0,0
"67",67,"1757",47.244755,-95.007715,0,156.286525913032,152,45,41,149,26,6,11,3,7,58,2,8,9,10,2,3,0,1,2,4,2,1
"68",68,"1777",44.226105,-93.829815,0,156.286525913032,230,11,23,141,39,4,3,1,8,91,5,8,6,4,0,1,0,1,0,5,2,0
"69",69,"1778",46.858935,-94.75542,1,95.8596549761692,75,24,80,109,130,1,18,10,8,6,4,8,5,9,8,2,1,0,0,1,0,0
"70",70,"1781",44.711625,-93.341105,0,95.8596549761692,138,22,77,109,34,1,15,16,6,8,5,6,4,7,10,6,1,0,1,3,0,1
"71",71,"1786",47.982605,-93.3853,1,95.8596549761692,146,23,92,112,17,8,5,28,7,0,2,12,7,5,5,3,11,3,1,0,0,1
"72",72,"1793",48.033333,-91.9,1,157.747764427375,71,16,9,92,193,3,3,2,4,65,5,6,4,1,2,1,3,0,0,0,1,1
