"","X","dataset","lat","long","in.calib.sample","biomass","PINUSX","prairie","QUERCUS","BETULA","other_herbs","CYPERACE","ALNUSX","OSTRYCAR","ULMUS","TSUGAX","PICEAX","ACERX","FRAXINUX","POPULUS","CUPRESSA","other_trees","LARIXPSEU","FAGUS","CARYA","TILIA","ABIES","JUGLANSX"
"179",179,"CALPRE11",45.9395,-92.0572,0,39.6714171141166,213,23,21,25,14.5,7.5,13,7,3,0,1.5,3,3,3,3,1,3.5,0,0,0,0,0
"180",180,"CALPRE12",45.942934,-89.22145,1,143.594746146342,107,0,3,58,5,0,0,0,1,14,14,2,1,0,0,0,0,9,0,0,7,0
"181",181,"CALPRE13",45.9477,-92.197,1,48.5086027662019,177,12,16,52,14,1,10,0,5,1,3,1,0,2,0,0,0,0,0,0,2,0
"182",182,"CALPRE14",45.9599,-92.1084,1,62.7456509453711,334,29,18,63,23,3,20,4,4,2,9,3,0,4,0,0,0,0,0,0,4,1
"183",183,"CALPRE15",45.965542,-89.483116,1,106.935081767777,182,14,17,61,12,0,9,3,5,2,12,0,0,1,2,0,2,0,0,0,2,0
"184",184,"CALPRE16",45.971148,-89.708418,1,5.94495943313729,61,86,78,22,12,22,7,64,8,0,3,0,3,6,0,2,0,0,0,10,0,0
"185",185,"CALPRE17",45.982146,-89.685207,0,141.46764731592,86,10,9,115,2,0,9,3,15,52,2,17,5,0,0,3,0,0,0,0,2,0
"186",186,"CALPRE18",45.98437,-92.16812,1,80.8818329720518,221,11,16,77,10,3,19,2,3,0,12,1,2,1,2,5,4,0,0,1,5,0
"187",187,"CALPRE19",45.9939,-89.61883,1,65.3559557927111,382,29,42,178,23,2,25,4,7,14,5,6,9,15,0,1,3,1,1,0,1,1
"188",188,"CALPRE2",45.9208573,-89.6996401,0,5.94495943313729,36,193,52,23,38,52,7,10,7,1,1,1,2,3,2,8,2,0,0,2,0,0
"189",189,"CALPRE20",46.0086459,-89.6997036,0,85.6728560134437,317,9,17,122,22,10,13,6,8,17,33,8,3,1,8,2,3,0,0,0,5,1
"190",190,"CALPRE21",46.0126,-92.2259,0,88.2163935828365,160,11,8,34,14,1,6,1,3,2,7,1,2,3,0,0,0,0,0,0,2,0
"191",191,"CALPRE22",46.0369394,-89.6288435,1,50.9574938947839,130,8,14,41,9,1,1,3,4,13,12,5,2,4,8,1,2,3,1,0,1,0
"192",192,"CALPRE23",46.051978,-89.590709,1,97.4626112810797,187,6,14,125,4,7,24,2,6,14,15,15,1,2,6,2,1,0,0,0,5,1
"193",193,"CALPRE24",46.05323,-89.566965,1,32.9465678377473,359.5,36,23,31.5,14.5,24.5,24,5,10,0,10.5,1,1,6,1,6,2,0,0,0,4,0
"194",194,"CALPRE25",46.063419,-89.704896,1,35.1549202012356,158.5,31,9,14,17,27,15,3,0,0,2,1,3,0,0,2,0,0,0,1,1,0
"195",195,"CALPRE26",46.0665173,-89.6038754,1,35.8328469544843,219,43,46,28,28,9,7,10,9,0,5.5,0,4,1,1,0,3,0,0,1,0,0
"196",196,"CALPRE27",46.09,-91.94,0,84.3261525898077,215,16,14,57,7,4,7,7,1,2,2,3,1,2,6,2,4,0,1,1,2,1
"197",197,"CALPRE28",46.121,-92.039,0,27.4804124966439,204,32,18,41,6,2,20,8,5,0,1,2,1,3,0,3,0,0,0,0,1,0
"198",198,"CALPRE29",46.125602,-89.284923,1,23.6785368562087,83,83,91,56,17,48,12,27,13,0,3,1,6,2,0,3,0,0,0,2,2,0
"199",199,"CALPRE3",45.924,-91.961,0,104.606276754137,111.5,30,15,140,15,9,11,11,5,1,5,3,8,11,2,0,4,0,0,2,1.5,0
"200",200,"CALPRE30",46.1567454,-89.1780327,1,104.606276754137,195,22,33,111,25,9,26,10,10,0,2.5,4,4,2,0,2,3,0,1,3,1.5,0
"201",201,"CALPRE31",46.159086,-89.91917,1,104.606276754137,168,21,17,161,12,10,12,12,6,0,12.5,11,2,11,1,0,2,0,0,1,5.5,0
"202",202,"CALPRE32",46.171864,-89.710237,0,31.0827619604825,104,30,37,117,12,6,9,33,14,0,5,4,0,0,0,1,4,0,0,3,2,0
"203",203,"CALPRE33",46.203,-91.858,0,66.5918369486678,156,40,40,39,3,9,10,9,16,0,3,3,4,4,0,4,5,0,1,1,4,0
"204",204,"CALPRE34",46.205384,-89.792614,0,57.1570764078918,320,34,18,78,6,6,34,14,4,0,7,2,5,6,0,3,1,0,0,0,1,0
"205",205,"CALPRE35",46.240885,-89.68285,0,57.1570764078918,266,38,23,84,38,11,34,18,3,0,8,0,3,9,0,1,1,0,0,0,3,0
"206",206,"CALPRE36",46.274,-91.693,0,59.2595060945196,260,67,20,32,10,10,16,5,1,0,7,0,1,1,1,2,10,0,0,0,2,0
"207",207,"CALPRE37",46.318,-91.688,1,3.94820999807681,101,89,58,39,22,36,15,10,11,0,5,3,5,5,0,4,0,0,1,1,3,2
"208",208,"CALPRE38",46.36,-91.619,0,66.5918369486678,94,123,52,103,14,18,10,28,13,0,6,2,3,3,0,4,5,0,1,1,3,0
"209",209,"CALPRE39",46.382,-91.496,0,50.8349724480041,58,61,47,87,11,13,9,37,22,0,4,0,4,5,0,2,0,0,1,0,0,0
"210",210,"CALPRE4",45.9267,-92.468,0,50.8349724480041,71,71,55,117,28,17,9,46,27,0,4,2,4,0,1,4,1,0,1,15,0,0
"211",211,"CALPRE40",46.382,-91.701,1,7.60572158092926,53,157,36,44,46,35,10,11,9,0,7,1,1,2,0,7,0,0,0,2,0,0
"212",212,"CALPRE41",46.407,-91.528,1,66.5918369486678,119,45,58,69,14,20,13,14,9,1,7,2,4,0,2,3,2,0,0,1,3,0
"213",213,"CALPRE42",46.423,-91.48,1,50.8349724480041,148,103,111,50,14,35,24,19,17,0,6,4,3,3,0,3,0,0,3,0,2,1
"214",214,"CALPRE43",46.50213,-91.41097,1,47.0609480325269,275,7,7,17,1,0,7,0,1,1,5,0,1,0,0,0,3,0,0,0,2,0
"215",215,"CALPRE44",46.543,-91.35,1,47.0609480325269,228,22,7,23,7,4,7,3,1,0,1,2,1,3,0,0,2,0,0,0,2,0
"216",216,"CALPRE45",46.5678,-91.3002,1,8.67040663824338,63,129,56,28,17,80,8,12,6,1,4,1,8,4,0,6,1,0,1,1,1,0
"217",217,"CALPRE46",46.57128,-91.27224,1,75.5600246778059,192,23,11,75,10,4,15,5,0,0,11,1,1,2,5,5,3,0,0,1,3,0
"218",218,"CALPRE47",46.65141,-91.23631,1,51.429226609186,361,38,15,140,0,7,29,4,0,4,140,0,4,4,4,4,18,0,4,0,22,0
"219",219,"CALPRE48",46.6838,-91.063,0,41.655150646969,164.5,17,3,10,17,40.5,10,1,1,0,6,0,0,2,0,3,1,0,0,0,1,0
"220",220,"CALPRE5",45.9271,-92.256,1,23.2200760957723,48,82,61,58,19,14,10,36,4,1,4,0,2,7,4,9,0,0,0,1,1,0
"221",221,"CALPRE6",45.928,-92.083,1,33.7842666493286,139,8,5,60,53,1,6,1,0,2,21,0,1,0,0,0,0,0,0,0,3,0
"222",222,"CALPRE7",45.930417,-89.357161,1,57.8232601471608,353,18,11,54,19,5,33,2,1,1,31,2,3,9,40,3,5,0,0,1,4,0
"223",223,"CALPRE8",45.932,-92.2359,1,60.9225497282448,173,13,2,25,21,1,13,1,4,1,27,0,0,7,7,2,3,0,0,0,6,0
"224",224,"CALPRE9",45.932222,-89.208192,1,12.8977029726619,151,27,2,57,20,1,56,3,0,1,63,3,1,4,16,3,4,0,0,0,8,0
"225",225,"CLH1",45.302,-91.194,0,51.9324856134759,449,48,32,148,45,8,34,1,5,1,76,2,4,2,15,1,37,0,1,0,14,1
"226",226,"CLH3",45.872,-92.341,0,53.5882732936078,144,11,4,44,6,3,18,3,1,0,13,1,2,4,0,0,1,0,0,0,1,0
"227",227,"CLH4",45.901,-92.272,1,34.5762719759703,267,20,0,52,54,2,35,3,1,0,35,0,0,1,0,3,3,0,1,0,1,0
"228",228,"CLH5",45.9036,-92.0609,1,34.5762719759703,274,24,7,51,157,16,33,2,0,3,39,1,1,1,0,1,0,0,1,0,4,0
"229",229,"CLH6",45.90634,-89.690237,0,34.5762719759703,357,28,8,66,175,14,21,9,2,2,73,0,2,5,0,2,5,0,0,0,1,0
"230",230,"CLH7",45.8618,-92.2786,1,52.9379383109505,1084,71,23,174,12,3,113,6,9,2,111,3,2,17,59,9,8,0,1,1,14,0
"231",231,"CLH8",45.1915,-90.60789,0,41.0678622316223,175,16,4,54,19,0,17,2,0,0,29,0,2,5,8,1,2,0,0,0,4,1
"232",232,"CLH9",45.7865,-92.219,0,41.1173320403289,136,9,6,30,12,4,10,2,1,1,26,0,0,5,1,1,2,0,0,1,2,1
