"","name","ID","sigma","group"
"133","Blue Mounds Creek",3275,0.21,5
"134","Blue Mounds Creek",3276,0.24,5
"135","Blue Mounds Creek",3277,0.27,5
"136","Blue Mounds Creek",3278,0.03,6
"137","Blue Mounds Creek",3279,0.06,6
"138","Blue Mounds Creek",3280,0.09,6
"139","Blue Mounds Creek",3281,0.12,6
"140","Blue Mounds Creek",3282,0.15,6
"141","Blue Mounds Creek",3283,0.18,6
"142","Blue Mounds Creek",3284,0.21,6
"143","Blue Mounds Creek",3285,0.24,6
"144","Blue Mounds Creek",3286,0.27,6
"145","Blue Mounds Creek",3287,0.03,7
"146","Blue Mounds Creek",3288,0.06,7
"147","Blue Mounds Creek",3289,0.09,7
"148","Blue Mounds Creek",3290,0.12,7
"149","Blue Mounds Creek",3291,0.15,7
"150","Blue Mounds Creek",3292,0.18,7
"151","Blue Mounds Creek",3293,0.21,7
"152","Blue Mounds Creek",3294,0.24,7
"153","Blue Mounds Creek",3295,0.27,7
"154","Blue Mounds Creek",3296,0.03,8
"155","Blue Mounds Creek",3297,0.06,8
"156","Blue Mounds Creek",3298,0.09,8
"157","Blue Mounds Creek",3299,0.12,8
"158","Blue Mounds Creek",3300,0.15,8
"159","Blue Mounds Creek",3301,0.18,8
"160","Blue Mounds Creek",3302,0.21,8
"161","Blue Mounds Creek",3303,0.24,8
"162","Blue Mounds Creek",3304,0.27,8
"163","Blue Mounds Creek",3305,0.03,9
"164","Blue Mounds Creek",3306,0.06,9
"165","Blue Mounds Creek",3307,0.09,9
"166","Blue Mounds Creek",3308,0.12,9
"167","Blue Mounds Creek",3309,0.15,9
"168","Blue Mounds Creek",3310,0.18,9
"169","Blue Mounds Creek",3311,0.21,9
"170","Blue Mounds Creek",3312,0.24,9
"171","Blue Mounds Creek",3313,0.27,9
"172","Blue Mounds Creek",3314,0.03,10
"173","Blue Mounds Creek",3315,0.06,10
"174","Blue Mounds Creek",3316,0.09,10
"175","Blue Mounds Creek",3317,0.12,10
"176","Blue Mounds Creek",3318,0.15,10
"177","Blue Mounds Creek",3319,0.18,10
"178","Blue Mounds Creek",3320,0.21,10
"179","Blue Mounds Creek",3321,0.24,10
"180","Blue Mounds Creek",3322,0.27,10
"181","Bog D Pond",3323,0.03,1
"182","Bog D Pond",3324,0.06,1
"183","Bog D Pond",3325,0.09,1
"184","Bog D Pond",3326,0.12,1
"185","Bog D Pond",3327,0.15,1
"186","Bog D Pond",3328,0.18,1
"187","Bog D Pond",3329,0.21,1
"188","Bog D Pond",3330,0.24,1
"189","Bog D Pond",3331,0.27,1
"190","Bog D Pond",3332,0.03,2
"191","Bog D Pond",3333,0.06,2
"192","Bog D Pond",3334,0.09,2
"193","Bog D Pond",3335,0.12,2
"194","Bog D Pond",3336,0.15,2
"195","Bog D Pond",3337,0.18,2
"196","Bog D Pond",3338,0.21,2
"197","Bog D Pond",3339,0.24,2
"198","Bog D Pond",3340,0.27,2
"199","Bog D Pond",3341,0.03,3
"200","Bog D Pond",3342,0.06,3
"201","Bog D Pond",3343,0.09,3
"202","Bog D Pond",3344,0.12,3
"203","Bog D Pond",3345,0.15,3
"204","Bog D Pond",3346,0.18,3
"205","Bog D Pond",3347,0.21,3
"206","Bog D Pond",3348,0.24,3
"207","Bog D Pond",3349,0.27,3
"208","Bog D Pond",3350,0.03,4
"209","Bog D Pond",3351,0.06,4
"210","Bog D Pond",3352,0.09,4
"211","Bog D Pond",3353,0.12,4
"212","Bog D Pond",3354,0.15,4
"213","Bog D Pond",3355,0.18,4
"214","Bog D Pond",3356,0.21,4
"215","Bog D Pond",3357,0.24,4
"216","Bog D Pond",3358,0.27,4
"217","Bog D Pond",3359,0.03,5
"218","Bog D Pond",3360,0.06,5
"219","Bog D Pond",3361,0.09,5
"220","Bog D Pond",3362,0.12,5
"221","Bog D Pond",3363,0.15,5
"222","Bog D Pond",3364,0.18,5
"223","Bog D Pond",3365,0.21,5
"224","Bog D Pond",3366,0.24,5
"225","Bog D Pond",3367,0.27,5
"226","Bog D Pond",3368,0.03,6
"227","Bog D Pond",3369,0.06,6
"228","Bog D Pond",3370,0.09,6
"229","Bog D Pond",3371,0.12,6
"230","Bog D Pond",3372,0.15,6
"231","Bog D Pond",3373,0.18,6
"232","Bog D Pond",3374,0.21,6
"233","Bog D Pond",3375,0.24,6
"234","Bog D Pond",3376,0.27,6
"235","Bog D Pond",3377,0.03,7
"236","Bog D Pond",3378,0.06,7
"237","Bog D Pond",3379,0.09,7
"238","Bog D Pond",3380,0.12,7
"239","Bog D Pond",3381,0.15,7
"240","Bog D Pond",3382,0.18,7
"241","Bog D Pond",3383,0.21,7
"242","Bog D Pond",3384,0.24,7
"243","Bog D Pond",3385,0.27,7
"244","Bog D Pond",3386,0.03,8
"245","Bog D Pond",3387,0.06,8
"246","Bog D Pond",3388,0.09,8
"247","Bog D Pond",3389,0.12,8
"248","Bog D Pond",3390,0.15,8
"249","Bog D Pond",3391,0.18,8
"250","Bog D Pond",3392,0.21,8
"251","Bog D Pond",3393,0.24,8
"252","Bog D Pond",3394,0.27,8
"253","Bog D Pond",3395,0.03,9
"254","Bog D Pond",3396,0.06,9
"255","Bog D Pond",3397,0.09,9
"256","Bog D Pond",3398,0.12,9
"257","Bog D Pond",3399,0.15,9
"258","Bog D Pond",3400,0.18,9
"259","Bog D Pond",3401,0.21,9
"260","Bog D Pond",3402,0.24,9
"261","Bog D Pond",3403,0.27,9
"262","Bog D Pond",3404,0.03,10
"263","Bog D Pond",3405,0.06,10
"264","Bog D Pond",3406,0.09,10
"265","Bog D Pond",3407,0.12,10
"266","Bog D Pond",3408,0.15,10
"267","Bog D Pond",3409,0.18,10
"268","Bog D Pond",3410,0.21,10
"269","Bog D Pond",3411,0.24,10
"270","Bog D Pond",3412,0.27,10
"271","Camp 11 Lake",3413,0.03,1
"272","Camp 11 Lake",3414,0.06,1
"273","Camp 11 Lake",3415,0.09,1
"274","Camp 11 Lake",3416,0.12,1
"275","Camp 11 Lake",3417,0.15,1
"276","Camp 11 Lake",3418,0.18,1
"277","Camp 11 Lake",3419,0.21,1
"278","Camp 11 Lake",3420,0.24,1
"279","Camp 11 Lake",3421,0.27,1
"280","Camp 11 Lake",3422,0.03,2
"281","Camp 11 Lake",3423,0.06,2
"282","Camp 11 Lake",3424,0.09,2
"283","Camp 11 Lake",3425,0.12,2
"284","Camp 11 Lake",3426,0.15,2
"285","Camp 11 Lake",3427,0.18,2
"286","Camp 11 Lake",3428,0.21,2
"287","Camp 11 Lake",3429,0.24,2
"288","Camp 11 Lake",3430,0.27,2
"289","Camp 11 Lake",3431,0.03,3
"290","Camp 11 Lake",3432,0.06,3
"291","Camp 11 Lake",3433,0.09,3
"292","Camp 11 Lake",3434,0.12,3
"293","Camp 11 Lake",3435,0.15,3
"294","Camp 11 Lake",3436,0.18,3
"295","Camp 11 Lake",3437,0.21,3
"296","Camp 11 Lake",3438,0.24,3
"297","Camp 11 Lake",3439,0.27,3
"298","Camp 11 Lake",3440,0.03,4
"299","Camp 11 Lake",3441,0.06,4
"300","Camp 11 Lake",3442,0.09,4
"301","Camp 11 Lake",3443,0.12,4
"302","Camp 11 Lake",3444,0.15,4
"303","Camp 11 Lake",3445,0.18,4
"304","Camp 11 Lake",3446,0.21,4
"305","Camp 11 Lake",3447,0.24,4
"306","Camp 11 Lake",3448,0.27,4
"307","Camp 11 Lake",3449,0.03,5
"308","Camp 11 Lake",3450,0.06,5
"309","Camp 11 Lake",3451,0.09,5
"310","Camp 11 Lake",3452,0.12,5
"311","Camp 11 Lake",3453,0.15,5
"312","Camp 11 Lake",3454,0.18,5
"313","Camp 11 Lake",3455,0.21,5
"314","Camp 11 Lake",3456,0.24,5
"315","Camp 11 Lake",3457,0.27,5
"316","Camp 11 Lake",3458,0.03,6
"317","Camp 11 Lake",3459,0.06,6
"318","Camp 11 Lake",3460,0.09,6
"319","Camp 11 Lake",3461,0.12,6
"320","Camp 11 Lake",3462,0.15,6
"321","Camp 11 Lake",3463,0.18,6
"322","Camp 11 Lake",3464,0.21,6
"323","Camp 11 Lake",3465,0.24,6
